  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor powersave

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.1786 ns  (5.60 GHz)
  frequencia lida do sysfs no mesmo instante:         5.59 GHz

  amostra  ns/operacao   GHz
  -------  -----------  -----
        0       0.2008   5.59
        1       0.2015   5.59
        2       0.2012   5.59
        3       0.2019   5.59
        4       0.2016   5.58
        5       0.2017   5.58
        6       0.2018   5.58
        7       0.2019   5.56
        8       0.2026   5.56
        9       0.2020   5.55
       10       0.2027   5.55
       11       0.2023   5.55
       12       0.2021   5.55
       13       0.2029   5.55
       14       0.2022   5.55
       15       0.2030   5.55
       16       0.2022   5.55
       17       0.2022   5.55
       18       0.2028   5.55
       19       0.2022   5.54
       20       0.2029   5.54
       21       0.2022   5.54
       22       0.2021   5.54
       23       0.2029   5.54
       24       0.2025   5.55
       25       0.2029   5.55
       26       0.2025   5.54
       27       0.2025   5.54
       28       0.2030   5.54
       29       0.2024   5.54
       30       0.2029   5.54
       31       0.2022   5.54
       32       0.2023   5.54
       33       0.2029   5.54
       34       0.2024   5.55
       35       0.2030   5.55
       36       0.2025   5.54
       37       0.2031   5.54
       38       0.2022   5.54
       39       0.2024   5.54
       40       0.2030   5.54
       41       0.2024   5.54
       42       0.2029   5.54
       43       0.2023   5.54
       44       0.2023   5.54
       45       0.2029   5.54
       46       0.2024   5.54
       47       0.2030   5.54
       48       0.2024   5.54
       49       0.2025   5.54
       50       0.2030   5.54
       51       0.2023   5.54
       52       0.2029   5.54
       53       0.2023   5.54
       54       0.2023   5.54
       55       0.2029   5.54
       56       0.2023   5.54
       57       0.2031   5.54
       58       0.2025   5.54
       59       0.2026   5.54
       60       0.2030   5.54
       61       0.2023   5.54
       62       0.2030   5.54
       63       0.2022   5.54
       64       0.2030   5.54
       65       0.2024   5.54
       66       0.2026   5.54
       67       0.2031   5.54
       68       0.2023   5.54
       69       0.2030   5.54
       70       0.2024   5.54
       71       0.2023   5.54
       72       0.2029   5.54
       73       0.2023   5.54
       74       0.2030   5.54
       75       0.2024   5.54
       76       0.2024   5.54
       77       0.2032   5.54
       78       0.2024   5.54
       79       0.2032   5.54
       80       0.2024   5.54
       81       0.2024   5.54
       82       0.2029   5.54
       83       0.2023   5.54
       84       0.2030   5.54
       85       0.2025   5.54
       86       0.2026   5.54
       87       0.2033   5.54
       88       0.2025   5.53
       89       0.2031   5.53
       90       0.2023   5.53
       91       0.2030   5.53
       92       0.2024   5.54
       93       0.2023   5.54
       94       0.2030   5.54
       95       0.2025   5.54
       96       0.2030   5.54
       97       0.2025   5.54
       98       0.2026   5.54
       99       0.2032   5.54
      100       0.2025   5.53
      101       0.2031   5.53
      102       0.2023   5.53
      103       0.2024   5.53
      104       0.2030   5.53
      105       0.2024   5.54
      106       0.2030   5.54
      107       0.2026   5.54
      108       0.2025   5.54
      109       0.2031   5.54
      110       0.2026   5.53
      111       0.2032   5.53
      112       0.2026   5.53
      113       0.2026   5.53
      114       0.2032   5.53
      115       0.2025   5.53
      116       0.2032   5.53
      117       0.2025   5.53
      118       0.2033   5.53
      119       0.2025   5.54
      120       0.2026   5.54
      121       0.2032   5.54
      122       0.2026   5.53
      123       0.2033   5.53
      124       0.2026   5.53
      125       0.2026   5.53
      126       0.2032   5.53
      127       0.2026   5.53
      128       0.2034   5.53
      129       0.2023   5.53
      130       0.2024   5.53
      131       0.2031   5.53
      132       0.2024   5.54
      133       0.2030   5.54
      134       0.2026   5.54
      135       0.2025   5.54
      136       0.2033   5.54
      137       0.2027   5.53
      138       0.2035   5.53
      139       0.2024   5.53
      140       0.2025   5.53
      141       0.2033   5.53
      142       0.2026   5.54
      143       0.2031   5.54
      144       0.2026   5.53
      145       0.2032   5.53
      146       0.2027   5.53
      147       0.2026   5.53
      148       0.2127   5.53
      149       0.2026   5.53
      150       0.2035   5.53
      151       0.2027   5.53
      152       0.2027   5.53
      153       0.2032   5.53
      154       0.2028   5.53
      155       0.2033   5.53
      156       0.2026   5.53
      157       0.2027   5.53
      158       0.2033   5.53
      159       0.2027   5.53
      160       0.2032   5.53
      161       0.2027   5.53
      162       0.2027   5.53
      163       0.2032   5.53
      164       0.2026   5.53
      165       0.2032   5.53
      166       0.2026   5.53
      167       0.2027   5.53
      168       0.2026   5.53
      169       0.2027   5.53
      170       0.2032   5.53
      171       0.2022   5.53
      172       0.2029   5.53
      173       0.2024   5.54
      174       0.2026   5.54
      175       0.2032   5.54
      176       0.2026   5.54
      177       0.2034   5.54
      178       0.2026   5.53
      179       0.2027   5.53
      180       0.2032   5.53
      181       0.2026   5.53
      182       0.2033   5.53
      183       0.2023   5.53
      184       0.2024   5.53
      185       0.2029   5.53
      186       0.2026   5.54
      187       0.2034   5.54
      188       0.2025   5.54
      189       0.2027   5.54
      190       0.2032   5.54
      191       0.2027   5.53
      192       0.2032   5.53
      193       0.2026   5.53
      194       0.2032   5.53
      195       0.2026   5.53
      196       0.2027   5.53
      197       0.2034   5.53
      198       0.2026   5.53
      199       0.2034   5.53
      200       0.2027   5.53
      201       0.2026   5.53
      202       0.2032   5.53
      203       0.2026   5.53
      204       0.2033   5.53
      205       0.2026   5.53
      206       0.2027   5.53
      207       0.2031   5.53
      208       0.2027   5.53
      209       0.2034   5.53
      210       0.2027   5.53
      211       0.2026   5.53
      212       0.2033   5.53
      213       0.2028   5.53
      214       0.2034   5.53
      215       0.2027   5.53
      216       0.2026   5.53
      217       0.2032   5.53
      218       0.2025   5.53
      219       0.2033   5.53
      220       0.2026   5.53
      221       0.2031   5.53
      222       0.2026   5.53
      223       0.2026   5.53
      224       0.2032   5.53
      225       0.2027   5.53
      226       0.2032   5.53
      227       0.2026   5.53
      228       0.2027   5.53
      229       0.2034   5.53
      230       0.2026   5.53
      231       0.2033   5.53
      232       0.2028   5.53
      233       0.2027   5.53
      234       0.2033   5.53
      235       0.2026   5.53
      236       0.2033   5.53
      237       0.2027   5.53
      238       0.2027   5.53
      239       0.2033   5.53
      240       0.2026   5.53
      241       0.2034   5.53
      242       0.2028   5.53
      243       0.2026   5.53
      244       0.2033   5.53
      245       0.2028   5.53
      246       0.2033   5.53
      247       0.2027   5.53
      248       0.2035   5.53
      249       0.2026   5.53
      250       0.2026   5.53
      251       0.2032   5.53
      252       0.2026   5.53
      253       0.2033   5.53
      254       0.2026   5.53
      255       0.2027   5.53
