  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.43 GHz

  amostra  ns/operacao   GHz
  -------  -----------  -----
        0       0.3372   5.42
        1       0.3383   5.42
        2       0.3384   5.42
        3       0.3366   5.42
        4       0.3382   5.42
        5       0.3377   5.40
        6       0.3375   5.40
        7       0.3377   5.40
        8       0.3379   5.40
        9       0.3374   5.40
       10       0.3378   5.40
       11       0.3378   5.40
       12       0.3382   5.40
       13       0.3394   5.40
       14       0.3389   5.40
       15       0.3392   5.40
       16       0.3452   5.40
       17       0.3381   5.40
       18       0.3386   5.40
       19       0.3390   5.40
       20       0.3388   5.40
       21       0.3389   5.40
       22       0.3387   5.40
       23       0.3387   5.40
       24       0.3389   5.40
       25       0.3381   5.40
       26       0.3388   5.40
       27       0.3385   5.40
       28       0.3367   5.39
       29       0.3380   5.39
       30       0.3368   5.39
       31       0.3354   5.38
       32       0.3367   5.38
       33       0.3363   5.38
       34       0.3352   5.38
       35       0.3366   5.38
       36       0.3358   5.38
       37       0.3351   5.37
       38       0.3368   5.37
       39       0.3365   5.37
       40       0.3347   5.37
       41       0.3358   5.37
       42       0.3357   5.37
       43       0.3360   5.37
       44       0.3366   5.37
       45       0.3365   5.37
       46       0.3349   5.37
       47       0.3355   5.37
       48       0.3352   5.37
       49       0.3364   5.37
       50       0.3365   5.37
       51       0.3366   5.37
       52       0.3356   5.37
       53       0.3357   5.37
       54       0.3351   5.37
       55       0.3347   5.37
       56       0.3361   5.37
       57       0.3364   5.37
       58       0.3356   5.37
       59       0.3364   5.37
       60       0.3364   5.37
       61       0.3354   5.37
       62       0.3355   5.37
       63       0.3366   5.37
       64       0.3366   5.37
       65       0.3348   5.37
       66       0.3365   5.37
       67       0.3361   5.36
       68       0.3353   5.36
       69       0.3358   5.36
       70       0.3360   5.37
       71       0.3349   5.37
       72       0.3356   5.37
       73       0.3346   5.37
       74       0.3346   5.37
       75       0.3355   5.37
       76       0.3356   5.37
       77       0.3355   5.36
       78       0.3361   5.36
       79       0.3360   5.37
       80       0.3355   5.37
       81       0.3363   5.37
       82       0.3368   5.37
       83       0.3354   5.37
       84       0.3364   5.37
       85       0.3358   5.37
       86       0.3352   5.37
       87       0.3355   5.37
       88       0.3352   5.37
       89       0.3345   5.36
       90       0.3359   5.36
       91       0.3364   5.37
       92       0.3357   5.37
       93       0.3347   5.37
       94       0.3349   5.37
       95       0.3352   5.37
       96       0.3359   5.37
       97       0.3362   5.37
       98       0.3367   5.37
       99       0.3361   5.37
      100       0.3356   5.37
      101       0.3351   5.37
      102       0.3350   5.37
      103       0.3357   5.37
      104       0.3349   5.37
      105       0.3358   5.37
      106       0.3359   5.37
      107       0.3347   5.37
      108       0.3357   5.37
      109       0.3386   5.37
      110       0.3362   5.37
      111       0.3359   5.37
      112       0.3367   5.37
      113       0.3359   5.37
      114       0.3352   5.37
      115       0.3362   5.37
      116       0.3364   5.37
      117       0.3351   5.37
      118       0.3360   5.37
      119       0.3360   5.37
      120       0.3349   5.37
      121       0.3355   5.37
      122       0.3358   5.37
      123       0.3349   5.37
      124       0.3363   5.37
      125       0.3358   5.37
      126       0.3352   5.37
      127       0.3363   5.37
      128       0.3356   5.37
      129       0.3354   5.37
      130       0.3366   5.37
      131       0.3359   5.37
      132       0.3352   5.37
      133       0.3356   5.37
      134       0.3357   5.37
      135       0.3349   5.37
      136       0.3366   5.37
      137       0.3362   5.37
      138       0.3352   5.37
      139       0.3358   5.37
      140       0.3360   5.37
      141       0.3343   5.37
      142       0.3361   5.37
      143       0.3357   5.37
      144       0.3362   5.37
      145       0.3353   5.37
      146       0.3357   5.37
      147       0.3357   5.37
      148       0.3358   5.37
      149       0.3356   5.37
      150       0.3362   5.37
      151       0.3359   5.37
      152       0.3358   5.37
      153       0.3363   5.37
      154       0.3362   5.37
      155       0.3365   5.37
      156       0.3361   5.37
      157       0.3354   5.37
      158       0.3362   5.37
      159       0.3369   5.37
      160       0.3362   5.37
      161       0.3363   5.37
      162       0.3360   5.37
      163       0.3352   5.37
      164       0.3365   5.37
      165       0.3357   5.37
      166       0.3352   5.37
      167       0.3356   5.37
      168       0.3363   5.37
      169       0.3354   5.37
      170       0.3360   5.37
      171       0.3358   5.37
      172       0.3347   5.37
      173       0.3367   5.37
      174       0.3368   5.37
      175       0.3361   5.37
      176       0.3370   5.37
      177       0.3370   5.37
      178       0.3354   5.37
      179       0.3360   5.37
      180       0.3347   5.37
      181       0.3351   5.36
      182       0.3361   5.36
      183       0.3354   5.37
      184       0.3341   5.37
      185       0.3354   5.37
      186       0.3357   5.37
      187       0.3342   5.37
      188       0.3348   5.37
      189       0.3358   5.36
      190       0.3352   5.37
      191       0.3361   5.37
      192       0.3353   5.37
      193       0.3343   5.37
      194       0.3354   5.37
      195       0.3362   5.37
      196       0.3366   5.37
      197       0.3352   5.37
      198       0.3357   5.37
      199       0.3357   5.37
      200       0.3346   5.37
      201       0.3358   5.37
      202       0.3359   5.37
      203       0.3353   5.36
      204       0.3359   5.36
      205       0.3361   5.36
      206       0.3350   5.36
      207       0.3348   5.36
      208       0.3353   5.37
      209       0.3344   5.37
      210       0.3354   5.37
      211       0.3356   5.37
      212       0.3352   5.37
      213       0.3355   5.37
      214       0.3356   5.37
      215       0.3351   5.37
      216       0.3349   5.37
      217       0.3356   5.37
      218       0.3349   5.37
      219       0.3359   5.37
      220       0.3367   5.37
      221       0.3363   5.37
      222       0.3360   5.37
      223       0.3354   5.37
      224       0.3359   5.37
      225       0.3356   5.37
      226       0.3355   5.37
      227       0.3340   5.37
      228       0.3355   5.37
      229       0.3352   5.36
      230       0.3350   5.36
      231       0.3355   5.36
      232       0.3351   5.37
      233       0.3348   5.37
      234       0.3350   5.37
      235       0.3352   5.37
      236       0.3355   5.37
      237       0.3354   5.37
      238       0.3362   5.37
      239       0.3356   5.37
      240       0.3358   5.37
      241       0.3356   5.37
      242       0.3350   5.37
      243       0.3357   5.37
      244       0.3356   5.37
      245       0.3360   5.37
      246       0.3340   5.37
      247       0.3354   5.37
      248       0.3361   5.37
      249       0.3347   5.37
      250       0.3364   5.37
      251       0.3366   5.37
      252       0.3343   5.37
      253       0.3354   5.37
      254       0.3353   5.37
      255       0.3346   5.37
      256       0.3362   5.37
      257       0.3355   5.37
      258       0.3349   5.37
