  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.1790 ns  (5.59 GHz)
  frequencia lida do sysfs no mesmo instante:         5.58 GHz

  amostra  ns/operacao   GHz
  -------  -----------  -----
        0       0.2016   5.57
        1       0.2022   5.57
        2       0.2019   5.56
        3       0.2020   5.56
        4       0.2028   5.56
        5       0.2023   5.55
        6       0.2029   5.55
        7       0.2026   5.54
        8       0.2027   5.54
        9       0.2034   5.54
       10       0.2028   5.53
       11       0.2035   5.53
       12       0.2029   5.53
       13       0.2029   5.53
       14       0.2034   5.53
       15       0.2028   5.53
       16       0.2033   5.53
       17       0.2030   5.53
       18       0.2030   5.53
       19       0.2038   5.53
       20       0.2031   5.52
       21       0.2041   5.52
       22       0.2030   5.52
       23       0.2032   5.52
       24       0.2028   5.52
       25       0.2029   5.52
       26       0.2035   5.52
       27       0.2031   5.53
       28       0.2040   5.53
       29       0.2032   5.52
       30       0.2032   5.52
       31       0.2037   5.52
       32       0.2030   5.52
       33       0.2037   5.52
       34       0.2028   5.52
       35       0.2030   5.52
       36       0.2036   5.52
       37       0.2030   5.53
       38       0.2038   5.53
       39       0.2030   5.52
       40       0.2032   5.52
       41       0.2040   5.52
       42       0.2032   5.52
       43       0.2038   5.52
       44       0.2032   5.52
       45       0.2031   5.52
       46       0.2038   5.52
       47       0.2032   5.52
       48       0.2038   5.52
       49       0.2031   5.52
       50       0.2037   5.52
       51       0.2032   5.52
       52       0.2031   5.52
       53       0.2035   5.52
       54       0.2029   5.52
       55       0.2035   5.52
       56       0.2029   5.53
       57       0.2030   5.53
       58       0.2037   5.53
       59       0.2030   5.52
       60       0.2038   5.52
       61       0.2032   5.52
       62       0.2032   5.52
       63       0.2130   5.52
       64       0.2033   5.52
       65       0.2037   5.52
       66       0.2031   5.52
       67       0.2032   5.52
       68       0.2035   5.52
       69       0.2032   5.52
       70       0.2038   5.52
       71       0.2032   5.52
       72       0.2038   5.52
       73       0.2031   5.52
       74       0.2031   5.52
       75       0.2037   5.52
       76       0.2032   5.52
       77       0.2037   5.52
       78       0.2032   5.52
       79       0.2032   5.52
       80       0.2039   5.52
       81       0.2033   5.52
       82       0.2038   5.52
       83       0.2031   5.52
       84       0.2032   5.52
       85       0.2039   5.52
       86       0.2032   5.52
       87       0.2038   5.52
       88       0.2030   5.52
       89       0.2029   5.52
       90       0.2037   5.52
       91       0.2031   5.52
       92       0.2037   5.52
       93       0.2032   5.52
       94       0.2037   5.52
       95       0.2032   5.52
       96       0.2032   5.52
       97       0.2037   5.52
       98       0.2032   5.52
       99       0.2039   5.52
      100       0.2031   5.52
      101       0.2032   5.52
      102       0.2038   5.52
      103       0.2032   5.52
      104       0.2037   5.52
      105       0.2032   5.52
      106       0.2032   5.52
      107       0.2038   5.52
      108       0.2032   5.52
