  sonda-relaxed: 20000 amostras de 2000000 rodadas, cpu 0, governor performance

  periodo de clock MEDIDO, apos 400 ms de aquecimento: 0.3174 ns  (3.15 GHz)
  frequencia lida do sysfs no mesmo instante:         5.40 GHz

  amostra  ns/operacao   GHz
  -------  -----------  -----
        0       0.3386   5.40
        1       0.3379   5.40
        2       0.3391   5.40
        3       0.3394   5.40
        4       0.3383   5.40
        5       0.3391   5.40
        6       0.3394   5.39
        7       0.3379   5.39
        8       0.3390   5.39
        9       0.3432   5.39
       10       0.3380   5.39
       11       0.3518   5.39
       12       0.3462   5.39
       13       0.3388   5.39
       14       0.3396   5.39
       15       0.3400   5.39
       16       0.3396   5.39
       17       0.3384   5.39
       18       0.3396   5.39
       19       0.3398   5.39
       20       0.3389   5.38
       21       0.3485   5.38
       22       0.3395   5.39
       23       0.3390   5.38
       24       0.3404   5.38
       25       0.3439   5.38
       26       0.3388   5.38
       27       0.3517   5.38
       28       0.3454   5.38
       29       0.3391   5.38
       30       0.3389   5.38
       31       0.3464   5.38
       32       0.3387   5.38
       33       0.3391   5.38
       34       0.3398   5.38
       35       0.3400   5.38
       36       0.3389   5.38
       37       0.3403   5.38
       38       0.3406   5.38
       39       0.3391   5.38
       40       0.3398   5.38
       41       0.3397   5.38
       42       0.3386   5.38
       43       0.3504   5.38
       44       0.3400   5.38
       45       0.3390   5.38
       46       0.3395   5.38
       47       0.3396   5.38
       48       0.3381   5.38
       49       0.3389   5.38
       50       0.3386   5.37
       51       0.3376   5.37
       52       0.3394   5.37
       53       0.3466   5.37
       54       0.3384   5.37
       55       0.3372   5.36
       56       0.3476   5.36
       57       0.3385   5.36
       58       0.3366   5.36
       59       0.3482   5.36
       60       0.3420   5.37
       61       0.3382   5.37
       62       0.3390   5.37
       63       0.3386   5.37
       64       0.3377   5.37
       65       0.3387   5.37
       66       0.3384   5.37
       67       0.3383   5.37
       68       0.3384   5.37
       69       0.3384   5.37
       70       0.3375   5.37
       71       0.3388   5.37
       72       0.3392   5.37
       73       0.3383   5.37
       74       0.3386   5.37
       75       0.3382   5.37
       76       0.3385   5.37
       77       0.3382   5.37
       78       0.3477   5.37
       79       0.3387   5.37
       80       0.3381   5.37
       81       0.3388   5.37
       82       0.3402   5.37
       83       0.3381   5.37
       84       0.3506   5.37
       85       0.3386   5.36
       86       0.3379   5.36
       87       0.3382   5.36
       88       0.3440   5.37
       89       0.3381   5.36
       90       0.3536   5.36
       91       0.3393   5.37
       92       0.3381   5.36
       93       0.3385   5.36
       94       0.3391   5.37
       95       0.3390   5.37
       96       0.3371   5.37
       97       0.3380   5.37
       98       0.3384   5.37
       99       0.3372   5.37
      100       0.3391   5.37
      101       0.3393   5.37
      102       0.3384   5.37
      103       0.3390   5.37
      104       0.3389   5.37
      105       0.3392   5.36
      106       0.3482   5.36
      107       0.3431   5.36
      108       0.3381   5.36
      109       0.3389   5.36
      110       0.3385   5.37
      111       0.3390   5.36
      112       0.3533   5.36
      113       0.3388   5.36
      114       0.3375   5.36
      115       0.3395   5.36
      116       0.3382   5.36
      117       0.3386   5.36
      118       0.3380   5.37
      119       0.3390   5.37
      120       0.3385   5.36
      121       0.3385   5.37
      122       0.3487   5.37
      123       0.3421   5.36
      124       0.3380   5.36
      125       0.3388   5.36
      126       0.3389   5.37
      127       0.3384   5.37
      128       0.3511   5.37
      129       0.3383   5.36
      130       0.3376   5.36
      131       0.3391   5.36
      132       0.3384   5.37
      133       0.3376   5.37
      134       0.3382   5.37
      135       0.3458   5.37
      136       0.3377   5.37
      137       0.3375   5.37
      138       0.3384   5.37
      139       0.3378   5.37
      140       0.3382   5.37
      141       0.3390   5.37
      142       0.3393   5.37
      143       0.3378   5.37
      144       0.3381   5.37
      145       0.3381   5.37
      146       0.3375   5.37
      147       0.3380   5.37
      148       0.3384   5.37
      149       0.3384   5.37
      150       0.3390   5.37
      151       0.3434   5.37
      152       0.3381   5.37
      153       0.3516   5.37
      154       0.3382   5.37
      155       0.3379   5.37
      156       0.3532   5.37
      157       0.3392   5.36
      158       0.3387   5.37
      159       0.3382   5.37
      160       0.3385   5.37
      161       0.3384   5.37
      162       0.3377   5.37
      163       0.3386   5.37
      164       0.3388   5.37
      165       0.3377   5.37
      166       0.3388   5.37
      167       0.3391   5.36
      168       0.3372   5.36
      169       0.3385   5.36
      170       0.3428   5.37
      171       0.3381   5.37
      172       0.3389   5.37
      173       0.3385   5.37
      174       0.3381   5.37
      175       0.3521   5.37
      176       0.3394   5.37
      177       0.3395   5.36
      178       0.3388   5.36
      179       0.3381   5.36
      180       0.3396   5.37
      181       0.3387   5.36
      182       0.3390   5.36
      183       0.3384   5.37
      184       0.3380   5.36
      185       0.3487   5.36
      186       0.3391   5.36
      187       0.3379   5.36
      188       0.3385   5.36
      189       0.3376   5.36
      190       0.3375   5.36
      191       0.3508   5.36
      192       0.3387   5.37
      193       0.3384   5.36
      194       0.3521   5.36
      195       0.3388   5.36
      196       0.3374   5.36
      197       0.3385   5.36
      198       0.3460   5.36
      199       0.3387   5.36
      200       0.3377   5.37
      201       0.3399   5.37
      202       0.3380   5.36
      203       0.3373   5.37
      204       0.3383   5.37
      205       0.3376   5.37
      206       0.3368   5.37
      207       0.3388   5.37
      208       0.3393   5.37
      209       0.3378   5.37
      210       0.3396   5.37
      211       0.3398   5.37
      212       0.3381   5.36
      213       0.3392   5.36
      214       0.3388   5.36
      215       0.3382   5.37
      216       0.3392   5.37
      217       0.3447   5.36
      218       0.3382   5.36
      219       0.3387   5.36
      220       0.3386   5.36
      221       0.3373   5.36
      222       0.3387   5.36
      223       0.3386   5.37
      224       0.3383   5.37
      225       0.3368   5.36
      226       0.3378   5.36
      227       0.3372   5.36
      228       0.3372   5.37
      229       0.3377   5.37
      230       0.3368   5.37
      231       0.3376   5.37
      232       0.3492   5.37
      233       0.3387   5.37
      234       0.3371   5.36
      235       0.3381   5.36
      236       0.3385   5.36
      237       0.3375   5.36
      238       0.3385   5.36
      239       0.3378   5.37
      240       0.3376   5.37
      241       0.3380   5.37
      242       0.3381   5.36
      243       0.3371   5.36
      244       0.3386   5.36
      245       0.3386   5.37
      246       0.3372   5.37
      247       0.3378   5.37
      248       0.3382   5.36
      249       0.3371   5.36
      250       0.3547   5.36
      251       0.3378   5.36
      252       0.3380   5.36
      253       0.3385   5.37
      254       0.3388   5.37
      255       0.3380   5.37
      256       0.3384   5.36
      257       0.3383   5.36
      258       0.3381   5.36
      259       0.3377   5.36
      260       0.3390   5.36
      261       0.3386   5.37
      262       0.3378   5.37
      263       0.3396   5.37
      264       0.3388   5.36
      265       0.3389   5.36
      266       0.3391   5.36
      267       0.3385   5.36
      268       0.3381   5.37
      269       0.3384   5.37
      270       0.3387   5.37
      271       0.3381   5.36
      272       0.3390   5.36
      273       0.3387   5.36
      274       0.3393   5.37
      275       0.3377   5.37
      276       0.3473   5.37
      277       0.3388   5.36
      278       0.3369   5.37
      279       0.3387   5.37
      280       0.3413   5.37
      281       0.3379   5.37
      282       0.3382   5.37
      283       0.3383   5.37
      284       0.3383   5.36
      285       0.3391   5.36
      286       0.3392   5.36
      287       0.3395   5.37
      288       0.3393   5.37
      289       0.3389   5.36
      290       0.3376   5.36
      291       0.3392   5.36
      292       0.3388   5.36
      293       0.3387   5.36
      294       0.3383   5.36
      295       0.3379   5.37
      296       0.3377   5.37
      297       0.3387   5.37
      298       0.3381   5.36
      299       0.3384   5.36
      300       0.3377   5.37
      301       0.3387   5.37
      302       0.3387   5.37
      303       0.3387   5.37
      304       0.3392   5.37
      305       0.3385   5.37
      306       0.3379   5.36
      307       0.3495   5.36
      308       0.3379   5.36
      309       0.3379   5.37
      310       0.3382   5.37
      311       0.3381   5.37
      312       0.3380   5.37
      313       0.3392   5.37
      314       0.3384   5.37
      315       0.3389   5.37
      316       0.3389   5.37
      317       0.3385   5.37
      318       0.3379   5.36
      319       0.3389   5.36
      320       0.3461   5.37
      321       0.3387   5.37
      322       0.3380   5.37
      323       0.3381   5.37
      324       0.3387   5.37
      325       0.3380   5.37
      326       0.3386   5.37
      327       0.3393   5.37
      328       0.3380   5.36
