repeticao,ordem,versao,topologia,cache,get_bulk,get_common,miss_pct
1,1,25.11,simetrico,256,62628,1,0.00
1,1,26.07,simetrico,256,62628,1,0.00
1,2,26.07,assimetrico,512,99124,7813,7.88
1,2,25.11,assimetrico,512,111917,3677,3.29
1,3,25.11,simetrico,24,62628,1,0.00
1,3,26.07,simetrico,24,62628,62628,100.00
1,4,26.07,simetrico,16,62628,62628,100.00
1,4,25.11,simetrico,16,62628,62628,100.00
1,5,25.11,assimetrico,16,85325,85323,100.00
1,5,26.07,assimetrico,16,86440,86440,100.00
1,6,26.07,assimetrico,0,85991,85991,100.00
1,6,25.11,assimetrico,0,103256,103256,100.00
1,7,25.11,assimetrico,24,101834,62501,61.38
1,7,26.07,assimetrico,24,87049,87049,100.00
1,8,26.07,assimetrico,128,101134,31250,30.90
1,8,25.11,assimetrico,128,137032,12501,9.12
1,9,25.11,assimetrico,96,114131,15626,13.69
1,9,26.07,assimetrico,96,120863,41667,34.47
1,10,26.07,simetrico,512,62628,1,0.00
1,10,25.11,simetrico,512,62628,1,0.00
1,11,25.11,assimetrico,48,123659,32276,26.10
1,11,26.07,assimetrico,48,103898,62501,60.16
1,12,26.07,simetrico,96,62628,1,0.00
1,12,25.11,simetrico,96,62628,1,0.00
1,13,25.11,assimetrico,32,108811,37038,34.04
1,13,26.07,assimetrico,32,108045,62501,57.85
1,14,26.07,simetrico,32,62628,1,0.00
1,14,25.11,simetrico,32,62628,1,0.00
1,15,25.11,simetrico,64,62628,1,0.00
1,15,26.07,simetrico,64,62628,1,0.00
1,16,26.07,simetrico,48,62628,1,0.00
1,16,25.11,simetrico,48,62628,1,0.00
1,17,25.11,simetrico,128,62628,1,0.00
1,17,26.07,simetrico,128,62628,1,0.00
1,18,26.07,simetrico,0,62628,62628,100.00
1,18,25.11,simetrico,0,62628,62628,100.00
1,19,25.11,assimetrico,64,131443,20834,15.85
1,19,26.07,assimetrico,64,123505,62500,50.61
1,20,26.07,assimetrico,256,114546,15625,13.64
1,20,25.11,assimetrico,256,111509,6945,6.23
2,1,26.07,assimetrico,128,101960,31250,30.65
2,1,25.11,assimetrico,128,119571,12501,10.45
2,2,25.11,assimetrico,48,125692,32465,25.83
2,2,26.07,assimetrico,48,106048,62501,58.94
2,3,26.07,simetrico,128,62628,1,0.00
2,3,25.11,simetrico,128,62628,1,0.00
2,4,25.11,simetrico,64,62628,1,0.00
2,4,26.07,simetrico,64,62628,1,0.00
2,5,26.07,simetrico,24,62628,62628,100.00
2,5,25.11,simetrico,24,62628,1,0.00
2,6,25.11,simetrico,32,62628,1,0.00
2,6,26.07,simetrico,32,62628,1,0.00
2,7,26.07,simetrico,256,62628,1,0.00
2,7,25.11,simetrico,256,62628,1,0.00
2,8,25.11,assimetrico,32,107775,37150,34.47
2,8,26.07,assimetrico,32,104999,62501,59.53
2,9,26.07,assimetrico,64,100493,62500,62.19
2,9,25.11,assimetrico,64,124110,20834,16.79
2,10,25.11,simetrico,16,62628,62628,100.00
2,10,26.07,simetrico,16,62628,62628,100.00
2,11,26.07,assimetrico,16,85464,85464,100.00
2,11,25.11,assimetrico,16,86472,86471,100.00
2,12,25.11,simetrico,96,62628,1,0.00
2,12,26.07,simetrico,96,62628,1,0.00
2,13,26.07,assimetrico,256,98004,15625,15.94
2,13,25.11,assimetrico,256,105547,6945,6.58
2,14,25.11,simetrico,512,62628,1,0.00
2,14,26.07,simetrico,512,62628,1,0.00
2,15,26.07,simetrico,0,62628,62628,100.00
2,15,25.11,simetrico,0,62628,62628,100.00
2,16,25.11,assimetrico,512,100035,3677,3.68
2,16,26.07,assimetrico,512,92369,7813,8.46
2,17,26.07,assimetrico,96,108927,41667,38.25
2,17,25.11,assimetrico,96,110176,15626,14.18
2,18,25.11,assimetrico,0,98671,98671,100.00
2,18,26.07,assimetrico,0,89306,89306,100.00
2,19,26.07,assimetrico,24,88854,88854,100.00
2,19,25.11,assimetrico,24,119292,62501,52.39
2,20,25.11,simetrico,48,62628,1,0.00
2,20,26.07,simetrico,48,62628,1,0.00
3,1,25.11,assimetrico,512,120277,3677,3.06
3,1,26.07,assimetrico,512,95650,7813,8.17
3,2,26.07,simetrico,96,62628,1,0.00
3,2,25.11,simetrico,96,62628,1,0.00
3,3,25.11,assimetrico,16,86562,86560,100.00
3,3,26.07,assimetrico,16,88446,88446,100.00
3,4,26.07,simetrico,512,62628,1,0.00
3,4,25.11,simetrico,512,62628,1,0.00
3,5,25.11,simetrico,256,62628,1,0.00
3,5,26.07,simetrico,256,62628,1,0.00
3,6,26.07,assimetrico,96,106465,41667,39.14
3,6,25.11,assimetrico,96,108870,15626,14.35
3,7,25.11,assimetrico,0,98565,98565,100.00
3,7,26.07,assimetrico,0,88346,88346,100.00
3,8,26.07,simetrico,128,62628,1,0.00
3,8,25.11,simetrico,128,62628,1,0.00
3,9,25.11,simetrico,32,62628,1,0.00
3,9,26.07,simetrico,32,62628,1,0.00
3,10,26.07,simetrico,24,62628,62628,100.00
3,10,25.11,simetrico,24,62628,1,0.00
3,11,25.11,simetrico,48,62628,1,0.00
3,11,26.07,simetrico,48,62628,1,0.00
3,12,26.07,assimetrico,32,101717,62501,61.45
