repeticao,ordem,versao,topologia,cache,get_bulk,get_common,miss_pct
1,1,25.11,simetrico,16,62628,62628,100.00
1,1,26.07,simetrico,16,62628,62628,100.00
1,2,26.07,assimetrico,128,101179,31250,30.89
1,2,25.11,assimetrico,128,121433,12501,10.29
1,3,25.11,assimetrico,32,111523,38529,34.55
1,3,26.07,assimetrico,32,108280,62501,57.72
1,4,26.07,simetrico,32,62628,1,0.00
1,4,25.11,simetrico,32,62628,1,0.00
1,5,25.11,assimetrico,24,106775,62501,58.54
1,5,26.07,assimetrico,24,93066,93066,100.00
1,6,26.07,simetrico,256,62628,1,0.00
1,6,25.11,simetrico,256,62628,1,0.00
1,7,25.11,assimetrico,0,102884,102884,100.00
1,7,26.07,assimetrico,0,87395,87395,100.00
1,8,26.07,simetrico,48,62628,1,0.00
1,8,25.11,simetrico,48,62628,1,0.00
1,9,25.11,assimetrico,512,115698,3677,3.18
1,9,26.07,assimetrico,512,98289,7813,7.95
1,10,26.07,simetrico,24,62628,62628,100.00
1,10,25.11,simetrico,24,62628,1,0.00
1,11,25.11,simetrico,0,62628,62628,100.00
1,11,26.07,simetrico,0,62628,62628,100.00
1,12,26.07,assimetrico,48,106639,62501,58.61
1,12,25.11,assimetrico,48,126002,32490,25.79
1,13,25.11,simetrico,96,62628,1,0.00
1,13,26.07,simetrico,96,62628,1,0.00
1,14,26.07,assimetrico,96,109624,41667,38.01
1,14,25.11,assimetrico,96,111130,15626,14.06
1,15,25.11,simetrico,64,62628,1,0.00
1,15,26.07,simetrico,64,62628,1,0.00
1,16,26.07,assimetrico,256,93774,15625,16.66
1,16,25.11,assimetrico,256,113427,6945,6.12
1,17,25.11,simetrico,128,62628,1,0.00
1,17,26.07,simetrico,128,62628,1,0.00
1,18,26.07,simetrico,512,62628,1,0.00
1,18,25.11,simetrico,512,62628,1,0.00
1,19,25.11,assimetrico,16,86261,86259,100.00
1,19,26.07,assimetrico,16,94102,94102,100.00
1,20,26.07,assimetrico,64,102660,62500,60.88
1,20,25.11,assimetrico,64,133627,20834,15.59
2,1,26.07,simetrico,512,62628,1,0.00
2,1,25.11,simetrico,512,62628,1,0.00
2,2,25.11,assimetrico,128,110398,12501,11.32
2,2,26.07,assimetrico,128,102224,31250,30.57
2,3,26.07,simetrico,96,62628,1,0.00
2,3,25.11,simetrico,96,62628,1,0.00
2,4,25.11,simetrico,16,62628,62628,100.00
2,4,26.07,simetrico,16,62628,62628,100.00
2,5,26.07,assimetrico,0,91929,91929,100.00
2,5,25.11,assimetrico,0,96771,96771,100.00
2,6,25.11,assimetrico,64,131218,20834,15.88
2,6,26.07,assimetrico,64,159018,62500,39.30
2,7,26.07,simetrico,64,62628,1,0.00
2,7,25.11,simetrico,64,62628,1,0.00
2,8,25.11,assimetrico,256,112578,6945,6.17
2,8,26.07,assimetrico,256,104034,15625,15.02
2,9,26.07,assimetrico,16,91889,91889,100.00
2,9,25.11,assimetrico,16,84618,84617,100.00
2,10,25.11,assimetrico,512,112967,3677,3.25
2,10,26.07,assimetrico,512,95482,7813,8.18
2,11,26.07,simetrico,128,62628,1,0.00
2,11,25.11,simetrico,128,62628,1,0.00
2,12,25.11,simetrico,48,62628,1,0.00
2,12,26.07,simetrico,48,62628,1,0.00
2,13,26.07,simetrico,256,62628,1,0.00
2,13,25.11,simetrico,256,62628,1,0.00
2,14,25.11,assimetrico,48,124247,32048,25.79
2,14,26.07,assimetrico,48,110518,62501,56.55
2,15,26.07,simetrico,32,62628,1,0.00
2,15,25.11,simetrico,32,62628,1,0.00
2,16,25.11,simetrico,24,62628,1,0.00
2,16,26.07,simetrico,24,62628,62628,100.00
2,17,26.07,assimetrico,32,104526,62501,59.79
2,17,25.11,assimetrico,32,110869,38246,34.50
2,18,25.11,simetrico,0,62628,62628,100.00
2,18,26.07,simetrico,0,62628,62628,100.00
2,19,26.07,assimetrico,24,91748,91748,100.00
2,19,25.11,assimetrico,24,111248,62500,56.18
2,20,25.11,assimetrico,96,111936,15626,13.96
2,20,26.07,assimetrico,96,124679,41667,33.42
3,1,25.11,assimetrico,256,112662,6945,6.16
3,1,26.07,assimetrico,256,110424,15625,14.15
3,2,26.07,assimetrico,64,104585,62500,59.76
3,2,25.11,assimetrico,64,123750,20834,16.84
3,3,25.11,simetrico,96,62628,1,0.00
3,3,26.07,simetrico,96,62628,1,0.00
3,4,26.07,simetrico,32,62628,1,0.00
3,4,25.11,simetrico,32,62628,1,0.00
3,5,25.11,assimetrico,32,108588,36793,33.88
3,5,26.07,assimetrico,32,109345,62501,57.16
3,6,26.07,assimetrico,24,91451,91451,100.00
3,6,25.11,assimetrico,24,108172,62501,57.78
3,7,25.11,assimetrico,0,100271,100271,100.00
3,7,26.07,assimetrico,0,90593,90593,100.00
3,8,26.07,simetrico,64,62628,1,0.00
3,8,25.11,simetrico,64,62628,1,0.00
3,9,25.11,assimetrico,96,113702,15626,13.74
3,9,26.07,assimetrico,96,110315,41667,37.77
3,10,26.07,simetrico,128,62628,1,0.00
3,10,25.11,simetrico,128,62628,1,0.00
3,11,25.11,simetrico,256,62628,1,0.00
3,11,26.07,simetrico,256,62628,1,0.00
3,12,26.07,simetrico,512,62628,1,0.00
3,12,25.11,simetrico,512,62628,1,0.00
3,13,25.11,assimetrico,128,116317,12501,10.75
3,13,26.07,assimetrico,128,103364,31250,30.23
3,14,26.07,simetrico,16,62628,62628,100.00
3,14,25.11,simetrico,16,62628,62628,100.00
3,15,25.11,assimetrico,16,87344,87342,100.00
3,15,26.07,assimetrico,16,94339,94336,100.00
3,16,26.07,simetrico,48,62628,1,0.00
3,16,25.11,simetrico,48,62628,1,0.00
3,17,25.11,simetrico,24,62628,1,0.00
3,17,26.07,simetrico,24,62628,62628,100.00
3,18,26.07,assimetrico,512,98139,7813,7.96
3,18,25.11,assimetrico,512,114648,3677,3.21
3,19,25.11,simetrico,0,62628,62628,100.00
3,19,26.07,simetrico,0,62628,62628,100.00
3,20,26.07,assimetrico,48,106112,62501,58.90
3,20,25.11,assimetrico,48,119773,31862,26.60
4,1,26.07,assimetrico,128,96997,31250,32.22
4,1,25.11,assimetrico,128,119712,12501,10.44
4,2,25.11,assimetrico,24,106184,62500,58.86
