repetition,sample,bulk,burst,producer,consumer,objects,ns_per_object
0,0,1,1,0,0,200000,22.409695000
0,0,0,8,0,2,200000,32.040765000
0,0,0,32,0,0,200000,1.895195000
0,0,0,1,0,2,200000,59.800955000
0,0,0,8,0,0,200000,3.358520000
0,0,0,128,0,0,200000,1.721915000
0,0,1,32,0,0,200000,1.401360000
0,0,1,128,0,0,200000,1.583200000
0,0,0,1,0,0,200000,22.542850000
0,0,1,128,0,2,200000,19.825500000
0,0,0,32,0,2,200000,20.235475000
0,0,1,8,0,0,200000,3.161295000
0,0,0,128,0,2,200000,18.475335000
0,0,1,1,0,2,200000,64.720085000
0,0,1,8,0,2,200000,24.621445000
0,0,1,32,0,2,200000,19.880200000
1,0,1,32,0,0,200000,1.550090000
1,0,1,1,0,0,200000,25.589830000
1,0,1,128,0,0,200000,1.755380000
1,0,1,128,0,2,200000,18.877500000
1,0,0,32,0,2,200000,21.923975000
1,0,1,1,0,2,200000,57.238495000
1,0,0,8,0,0,200000,4.504845000
1,0,0,1,0,0,200000,25.250790000
1,0,1,32,0,2,200000,19.651165000
1,0,0,1,0,2,200000,61.181075000
1,0,1,8,0,2,200000,24.894510000
1,0,0,32,0,0,200000,3.352260000
1,0,0,128,0,2,200000,18.018265000
1,0,1,8,0,0,200000,3.125975000
1,0,0,128,0,0,200000,1.719510000
1,0,0,8,0,2,200000,25.529915000
2,0,1,128,0,0,200000,1.132345000
2,0,1,32,0,0,200000,1.336035000
2,0,0,1,0,2,200000,52.638225000
2,0,0,8,0,0,200000,5.007995000
2,0,0,8,0,2,200000,23.485990000
2,0,0,1,0,0,200000,25.017390000
2,0,0,32,0,2,200000,20.611690000
2,0,1,8,0,2,200000,25.061025000
2,0,1,1,0,2,200000,56.426455000
2,0,1,32,0,2,200000,19.797290000
2,0,1,128,0,2,200000,19.749205000
2,0,1,1,0,0,200000,24.399320000
2,0,0,32,0,0,200000,3.807420000
2,0,0,128,0,2,200000,19.417125000
2,0,1,8,0,0,200000,4.049330000
2,0,0,128,0,0,200000,2.910870000
3,0,0,8,0,2,200000,25.811600000
3,0,1,128,0,0,200000,1.181940000
3,0,0,128,0,2,200000,19.359465000
3,0,0,1,0,0,200000,22.670295000
3,0,0,32,0,2,200000,19.413015000
3,0,0,128,0,0,200000,2.586005000
3,0,0,8,0,0,200000,5.098820000
3,0,1,32,0,2,200000,20.031235000
3,0,1,32,0,0,200000,2.411570000
3,0,1,1,0,2,200000,62.264730000
3,0,1,1,0,0,200000,24.852030000
3,0,1,8,0,2,200000,24.451920000
3,0,0,1,0,2,200000,56.586410000
3,0,1,128,0,2,200000,19.807565000
3,0,1,8,0,0,200000,3.089960000
3,0,0,32,0,0,200000,1.936575000
4,0,0,1,0,0,200000,22.642140000
4,0,1,8,0,0,200000,3.751215000
4,0,0,128,0,2,200000,18.515210000
4,0,1,1,0,2,200000,59.305120000
4,0,1,128,0,2,200000,19.820490000
4,0,0,32,0,2,200000,20.873280000
4,0,0,128,0,0,200000,1.706985000
4,0,0,1,0,2,200000,58.579590000
4,0,0,8,0,0,200000,3.432160000
4,0,1,1,0,0,200000,22.553870000
4,0,0,8,0,2,200000,24.903475000
4,0,1,8,0,2,200000,24.767770000
4,0,1,128,0,0,200000,1.123430000
4,0,0,32,0,0,200000,1.916285000
4,0,1,32,0,2,200000,19.878495000
4,0,1,32,0,0,200000,1.331220000
5,0,1,1,0,2,200000,69.296215000
5,0,0,128,0,0,200000,1.741050000
5,0,1,128,0,0,200000,1.277470000
5,0,1,8,0,2,200000,26.851525000
5,0,0,1,0,0,200000,22.517400000
5,0,0,1,0,2,200000,59.304615000
5,0,1,8,0,0,200000,3.097625000
5,0,0,32,0,0,200000,1.891640000
5,0,0,128,0,2,200000,19.874795000
5,0,1,32,0,2,200000,19.890270000
5,0,0,8,0,0,200000,3.380210000
5,0,0,8,0,2,200000,24.997005000
5,0,1,1,0,0,200000,22.562340000
5,0,0,32,0,2,200000,20.292185000
5,0,1,128,0,2,200000,19.889070000
5,0,1,32,0,0,200000,1.328620000
6,0,0,128,0,0,200000,1.769155000
6,0,1,32,0,2,200000,19.752360000
6,0,1,1,0,2,200000,61.721850000
6,0,1,8,0,2,200000,24.915700000
6,0,0,1,0,0,200000,22.566095000
6,0,1,128,0,0,200000,1.124785000
6,0,1,128,0,2,200000,19.764030000
6,0,0,128,0,2,200000,19.450485000
6,0,0,32,0,0,200000,1.898550000
6,0,1,32,0,0,200000,1.330625000
6,0,0,1,0,2,200000,57.235440000
6,0,1,1,0,0,200000,22.572455000
6,0,0,8,0,0,200000,3.419130000
6,0,0,8,0,2,200000,25.598140000
6,0,1,8,0,0,200000,3.245000000
6,0,0,32,0,2,200000,24.989340000
7,0,1,1,0,2,200000,62.823635000
7,0,0,1,0,0,200000,22.765825000
7,0,1,1,0,0,200000,22.539090000
7,0,0,32,0,2,200000,19.942670000
7,0,1,128,0,2,200000,19.892875000
7,0,1,8,0,0,200000,3.071425000
7,0,1,32,0,0,200000,1.330875000
7,0,0,128,0,0,200000,1.717055000
7,0,0,8,0,0,200000,3.411270000
7,0,0,1,0,2,200000,62.775895000
7,0,0,8,0,2,200000,24.138325000
7,0,1,32,0,2,200000,20.310515000
7,0,1,128,0,0,200000,1.123580000
7,0,0,32,0,0,200000,1.940430000
7,0,0,128,0,2,200000,20.133030000
7,0,1,8,0,2,200000,25.749230000
8,0,0,8,0,2,200000,24.430980000
8,0,1,8,0,2,200000,24.741820000
8,0,1,32,0,2,200000,19.904400000
8,0,1,32,0,0,200000,1.337085000
8,0,0,1,0,0,200000,22.588635000
8,0,1,128,0,2,200000,19.851995000
8,0,1,1,0,2,200000,53.298025000
8,0,1,8,0,0,200000,3.140255000
8,0,0,128,0,0,200000,1.746210000
8,0,0,32,0,2,200000,19.464060000
8,0,1,128,0,0,200000,1.148130000
8,0,1,1,0,0,200000,22.651905000
8,0,0,1,0,2,200000,60.039360000
8,0,0,32,0,0,200000,1.902760000
8,0,0,8,0,0,200000,3.331970000
8,0,0,128,0,2,200000,19.960505000
9,0,0,128,0,2,200000,18.224660000
9,0,1,8,0,0,200000,3.070875000
9,0,0,32,0,2,200000,20.480140000
9,0,1,1,0,0,200000,22.765570000
9,0,1,1,0,2,200000,55.806430000
9,0,0,1,0,0,200000,25.629655000
9,0,1,128,0,0,200000,1.989725000
9,0,0,32,0,0,200000,3.123870000
9,0,1,32,0,2,200000,20.325995000
9,0,0,8,0,2,200000,30.181590000
9,0,0,128,0,0,200000,2.844440000
9,0,0,8,0,0,200000,5.220345000
9,0,1,32,0,0,200000,2.372500000
9,0,1,128,0,2,200000,19.804810000
9,0,1,8,0,2,200000,25.362200000
9,0,0,1,0,2,200000,63.655365000
10,0,1,8,0,2,200000,24.661265000
10,0,0,32,0,2,200000,19.908105000
10,0,1,1,0,0,200000,22.497665000
10,0,1,8,0,0,200000,3.068470000
10,0,0,128,0,0,200000,1.744910000
10,0,1,32,0,2,200000,19.932600000
10,0,0,8,0,0,200000,3.429355000
10,0,1,128,0,2,200000,20.078275000
10,0,0,1,0,0,200000,22.500165000
10,0,0,32,0,0,200000,1.906965000
10,0,1,1,0,2,200000,54.527155000
10,0,1,32,0,0,200000,1.350310000
10,0,0,128,0,2,200000,20.403990000
10,0,0,1,0,2,200000,55.168270000
10,0,1,128,0,0,200000,1.157845000
10,0,0,8,0,2,200000,14.151790000
11,0,0,8,0,2,200000,24.802790000
11,0,0,128,0,2,200000,19.994370000
11,0,1,8,0,0,200000,3.069875000
11,0,0,128,0,0,200000,1.922095000
11,0,0,1,0,2,200000,55.606050000
11,0,0,32,0,0,200000,2.167865000
11,0,1,32,0,0,200000,1.332380000
11,0,1,128,0,0,200000,1.126785000
11,0,1,1,0,0,200000,22.527725000
11,0,0,1,0,0,200000,22.520110000
11,0,1,8,0,2,200000,24.520750000
11,0,0,8,0,0,200000,3.377505000
11,0,1,1,0,2,200000,61.184930000
11,0,1,128,0,2,200000,19.818085000
11,0,0,32,0,2,200000,20.026175000
11,0,1,32,0,2,200000,19.889565000
12,0,1,8,0,0,200000,3.080595000
12,0,0,8,0,2,200000,14.778325000
12,0,1,128,0,2,200000,18.498030000
12,0,1,128,0,0,200000,1.115115000
12,0,1,1,0,2,200000,55.370755000
12,0,0,1,0,2,200000,58.791895000
12,0,1,8,0,2,200000,25.172535000
12,0,1,1,0,0,200000,22.542250000
12,0,0,1,0,0,200000,22.506780000
12,0,0,32,0,2,200000,20.516410000
12,0,0,128,0,0,200000,1.720965000
12,0,0,32,0,0,200000,1.890885000
12,0,0,128,0,2,200000,20.368775000
12,0,0,8,0,0,200000,3.475095000
12,0,1,32,0,0,200000,1.334980000
12,0,1,32,0,2,200000,19.902740000
13,0,0,32,0,0,200000,1.889280000
13,0,1,1,0,2,200000,59.524330000
13,0,0,128,0,0,200000,1.763895000
13,0,0,8,0,2,200000,14.995390000
13,0,1,8,0,0,200000,3.091415000
13,0,1,1,0,0,200000,22.502425000
13,0,1,32,0,0,200000,1.326065000
13,0,0,32,0,2,200000,19.969020000
13,0,1,128,0,0,200000,1.333480000
13,0,1,128,0,2,200000,19.853500000
13,0,0,1,0,2,200000,59.891175000
13,0,1,32,0,2,200000,19.879700000
13,0,1,8,0,2,200000,24.912440000
13,0,0,1,0,0,200000,22.487945000
13,0,0,128,0,2,200000,19.683525000
13,0,0,8,0,0,200000,3.383465000
14,0,1,32,0,0,200000,1.383470000
14,0,0,32,0,0,200000,2.069775000
14,0,0,1,0,2,200000,54.723130000
14,0,1,1,0,2,200000,55.999200000
14,0,0,1,0,0,200000,22.592395000
14,0,0,8,0,2,200000,25.001465000
14,0,0,128,0,0,200000,1.773565000
14,0,0,32,0,2,200000,20.095710000
14,0,1,1,0,0,200000,22.826740000
14,0,1,32,0,2,200000,19.871535000
14,0,1,128,0,0,200000,1.141365000
14,0,0,8,0,0,200000,3.354710000
14,0,1,128,0,2,200000,19.836170000
14,0,1,8,0,0,200000,3.083950000
14,0,0,128,0,2,200000,20.603270000
14,0,1,8,0,2,200000,25.352430000
15,0,1,1,0,0,200000,23.973360000
15,0,1,8,0,2,200000,25.220680000
15,0,0,8,0,0,200000,3.421640000
15,0,0,32,0,0,200000,1.895745000
15,0,0,8,0,2,200000,25.913240000
15,0,0,128,0,2,200000,19.910010000
15,0,1,1,0,2,200000,54.915595000
15,0,1,32,0,2,200000,19.890015000
15,0,1,8,0,0,200000,3.104740000
15,0,0,1,0,2,200000,60.604630000
15,0,0,1,0,0,200000,22.854845000
15,0,1,128,0,2,200000,19.326550000
15,0,0,128,0,0,200000,1.707135000
15,0,1,32,0,0,200000,1.331875000
15,0,0,32,0,2,200000,19.768140000
15,0,1,128,0,0,200000,1.806225000
16,0,0,1,0,2,200000,55.430070000
16,0,0,1,0,0,200000,24.432935000
16,0,1,128,0,2,200000,19.757415000
16,0,1,8,0,0,200000,4.218850000
16,0,1,1,0,0,200000,24.707255000
16,0,0,32,0,2,200000,24.219880000
16,0,1,1,0,2,200000,56.402860000
16,0,0,128,0,0,200000,1.718055000
16,0,1,8,0,2,200000,24.789610000
16,0,1,128,0,0,200000,1.813990000
16,0,1,32,0,2,200000,19.578625000
16,0,0,8,0,0,200000,3.342140000
16,0,0,32,0,0,200000,1.895595000
16,0,0,8,0,2,200000,28.590470000
16,0,0,128,0,2,200000,19.736975000
16,0,1,32,0,0,200000,1.353720000
17,0,1,128,0,0,200000,1.119175000
17,0,1,32,0,0,200000,1.329470000
17,0,1,1,0,0,200000,23.710615000
17,0,0,8,0,0,200000,3.532900000
17,0,0,1,0,0,200000,25.052310000
17,0,1,8,0,2,200000,24.835300000
17,0,1,8,0,0,200000,3.068065000
17,0,0,8,0,2,200000,26.119430000
17,0,1,32,0,2,200000,19.833560000
17,0,1,128,0,2,200000,19.896130000
17,0,0,128,0,0,200000,1.709890000
17,0,0,128,0,2,200000,19.685330000
17,0,0,32,0,2,200000,20.940415000
17,0,1,1,0,2,200000,64.536035000
17,0,0,32,0,0,200000,1.898100000
17,0,0,1,0,2,200000,60.336770000
18,0,1,32,0,2,200000,19.950235000
18,0,0,32,0,2,200000,19.934905000
18,0,1,128,0,2,200000,19.851245000
18,0,0,128,0,2,200000,19.871435000
18,0,1,32,0,0,200000,1.327920000
18,0,0,8,0,2,200000,24.865855000
18,0,1,128,0,0,200000,1.600235000
18,0,0,1,0,0,200000,22.543450000
18,0,1,8,0,2,200000,24.835545000
18,0,0,32,0,0,200000,1.915185000
18,0,0,8,0,0,200000,3.459460000
18,0,1,1,0,0,200000,22.610480000
18,0,1,1,0,2,200000,59.485055000
18,0,0,1,0,2,200000,60.213840000
18,0,1,8,0,0,200000,3.079990000
18,0,0,128,0,0,200000,1.704685000
19,0,1,8,0,2,200000,24.739215000
19,0,0,1,0,0,200000,22.506880000
19,0,1,32,0,2,200000,20.476230000
19,0,1,1,0,0,200000,22.494255000
19,0,1,128,0,2,200000,19.877345000
19,0,1,1,0,2,200000,60.149170000
19,0,0,8,0,0,200000,3.333120000
19,0,0,8,0,2,200000,25.674040000
19,0,0,32,0,2,200000,20.038450000
