repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,assimetrico,128,29041804,4391800000,2000000,3.3064
1,1,26.07,assimetrico,128,31257864,4391800000,2000000,3.5587
1,2,25.11,simetrico,64,15913172,4391800000,2000000,1.8117
1,2,26.07,simetrico,64,17082912,4391800000,2000000,1.9449
1,3,25.11,assimetrico,48,32669956,4391800000,2000000,3.7194
1,3,26.07,assimetrico,48,33450956,4391800000,2000000,3.8083
1,4,25.11,assimetrico,16,37099084,4391800000,2000000,4.2237
1,4,26.07,assimetrico,16,37881800,4391800000,2000000,4.3128
1,5,25.11,assimetrico,32,37675044,4391800000,2000000,4.2892
1,5,26.07,assimetrico,32,43489864,4391800000,2000000,4.9513
1,6,25.11,simetrico,96,20629312,4391800000,2000000,2.3486
1,6,26.07,simetrico,96,22170896,4391800000,2000000,2.5241
1,7,25.11,assimetrico,256,34564244,4391800000,2000000,3.9351
1,7,26.07,assimetrico,256,36476484,4391800000,2000000,4.1528
1,8,25.11,simetrico,32,20643304,4391800000,2000000,2.3502
1,8,26.07,simetrico,32,22277640,4391800000,2000000,2.5363
1,9,25.11,simetrico,128,20649068,4391800000,2000000,2.3509
1,9,26.07,simetrico,128,22176044,4391800000,2000000,2.5247
1,10,25.11,simetrico,256,20597632,4391800000,2000000,2.3450
1,10,26.07,simetrico,256,22225412,4391800000,2000000,2.5303
1,11,25.11,assimetrico,0,49574448,4391800000,2000000,5.6440
1,11,26.07,assimetrico,0,46928684,4391800000,2000000,5.3428
1,12,25.11,simetrico,16,26007872,4391800000,2000000,2.9610
1,12,26.07,simetrico,16,24807728,4391800000,2000000,2.8243
1,13,25.11,simetrico,0,22820336,4391800000,2000000,2.5981
1,13,26.07,simetrico,0,24387968,4391800000,2000000,2.7765
1,14,25.11,assimetrico,64,41219860,4391800000,2000000,4.6928
1,14,26.07,assimetrico,64,45656336,4391800000,2000000,5.1979
1,15,25.11,assimetrico,24,47977028,4391800000,2000000,5.4621
1,15,26.07,assimetrico,24,47644520,4391800000,2000000,5.4243
1,16,25.11,simetrico,512,20656372,4391800000,2000000,2.3517
1,16,26.07,simetrico,512,22173844,4391800000,2000000,2.5245
1,17,25.11,assimetrico,96,37114176,4391800000,2000000,4.2254
1,17,26.07,assimetrico,96,46563088,4391800000,2000000,5.3011
1,18,25.11,simetrico,24,20673268,4391800000,2000000,2.3536
1,18,26.07,simetrico,24,24673968,4391800000,2000000,2.8091
1,19,25.11,assimetrico,512,33978296,4391800000,2000000,3.8684
1,19,26.07,assimetrico,512,34635436,4391800000,2000000,3.9432
1,20,25.11,simetrico,48,20648012,4391800000,2000000,2.3507
1,20,26.07,simetrico,48,22296780,4391800000,2000000,2.5385
2,1,25.11,simetrico,16,26000084,4391800000,2000000,2.9601
2,1,26.07,simetrico,16,24737988,4391800000,2000000,2.8164
2,2,25.11,simetrico,96,20625176,4391800000,2000000,2.3481
2,2,26.07,simetrico,96,22220132,4391800000,2000000,2.5297
2,3,25.11,assimetrico,32,43079652,4391800000,2000000,4.9046
2,3,26.07,assimetrico,32,43582132,4391800000,2000000,4.9618
2,4,25.11,simetrico,512,20633316,4391800000,2000000,2.3491
2,4,26.07,simetrico,512,22204248,4391800000,2000000,2.5279
2,5,25.11,assimetrico,48,41044168,4391800000,2000000,4.6728
2,5,26.07,assimetrico,48,43891760,4391800000,2000000,4.9970
