# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 00:10:00
Index   CPU-002
1         32711 
2          1726 
3           126 
4            32 
5            13 
6             6 
7            17 
8             7 
9             2 
10            7 
11          418 
12          113 
13           28 
14           64 
15           24 
16            4 
17            4 
18         1624 
19          693 
20           42 
21            6 
22            1 
23            1 
over:         0 
count:    37669 
min:          1 
avg:       2.34 
max:         23 
