repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P5-irmao,2,30,1599864023,2776,16,16,752928,216,59950,12,12,0
1,2,P0+ipi-proc,2,30,1763030990,696,16,16,660352,224,60000,1,8,0
1,3,P0+ipi-thread,2,30,1760562289,27819,16,16,24897,228,59998,38458,38459,0
1,4,P0,2,30,1808495478,477,16,16,26280,220,59987,0,19,0
2,1,P0+ipi-proc,2,30,1761847297,677,16,16,27382,209,60007,0,1,0
2,2,P0,2,30,1808346979,487,16,16,24687,232,59983,3,15,0
2,3,P0+ipi-thread,2,30,1760174947,23139,16,16,23404,217,59990,38375,38377,0
2,4,P5-irmao,2,30,1604754336,771,16,16,24837,196,59984,0,0,0
3,1,P0,2,30,1808028273,571,16,16,24316,229,59974,0,1,0
3,2,P5-irmao,2,30,1608878830,909,16,16,31640,190,59982,0,0,0
3,3,P0+ipi-thread,2,30,1761790919,26960,16,16,25518,215,60003,38163,38164,0
3,4,P0+ipi-proc,2,30,1762627807,160,16,16,18755,139,60008,0,18,0
4,1,P0,2,30,1808266599,587,16,16,40016,228,59953,0,0,0
4,2,P0+ipi-thread,2,30,1760533954,19457,16,16,31239,205,60009,38295,38298,0
4,3,P5-irmao,2,30,1608807062,785,16,16,24757,203,59987,0,13,0
4,4,P0+ipi-proc,2,30,1762649900,232,16,16,18766,151,59999,0,0,0
5,1,P5-irmao,2,30,1603199363,1012,16,16,631598,211,59995,0,0,0
5,2,P0+ipi-thread,2,30,1762211259,24186,16,16,15740,158,59989,38438,38439,0
5,3,P0+ipi-proc,2,30,1762343189,326,16,16,19737,153,59998,0,0,0
5,4,P0,2,30,1808402284,563,16,16,34846,225,59964,0,1,0
