repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-proc,2,30,1759350938,1271,16,16,509256,231,59788,13,13,0
1,2,P5-irmao,2,30,1604629338,691,16,16,536046,220,59973,0,6,0
1,3,P0,2,30,1807827624,430,16,16,761214,241,59989,1,1,0
1,4,P0+ipi-thread,2,30,1760598646,23395,16,16,316721,222,59998,38135,38136,0
2,1,P0+ipi-thread,2,30,1760653466,14413,16,16,40026,156,59998,38096,38103,0
2,2,P5-irmao,2,30,1605268922,662,16,16,583166,192,59979,0,0,0
2,3,P0,2,30,1808058161,429,16,16,227031,230,59956,0,6,0
2,4,P0+ipi-proc,2,30,1761214093,3709,16,16,481182,210,59989,1,1,0
3,1,P0+ipi-proc,2,30,1760659007,4110,16,16,521830,221,59997,0,18,0
3,2,P0,2,30,1807552592,499,16,16,656936,216,59984,0,0,0
3,3,P5-irmao,2,30,1603992830,946,16,16,783646,202,59997,0,0,0
3,4,P0+ipi-thread,2,30,1761136977,22134,16,16,587855,236,59997,38141,38154,0
4,1,P0+ipi-thread,2,30,1760809194,15665,16,16,13005,116,59997,38026,38027,0
4,2,P0+ipi-proc,2,30,1761694283,105,16,16,21551,96,59999,0,0,0
4,3,P5-irmao,2,30,1602669077,615,16,16,22793,208,59975,0,0,0
4,4,P0,2,30,1807889368,382,16,16,527891,232,59978,0,0,0
5,1,P0+ipi-thread,2,30,1760559971,20143,16,16,561685,227,59985,38228,38229,0
5,2,P0,2,30,1807407499,464,16,16,712361,238,59977,1,1,0
5,3,P5-irmao,2,30,1604564819,653,16,16,24616,213,59976,0,0,0
5,4,P0+ipi-proc,2,30,1761726142,705,16,16,445334,233,59992,0,0,0
