repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1756947962,28732,16,16,3008311,244,59935,37930,37927,0
1,2,P5-irmao,2,30,1607501158,1486,16,16,23074,202,60000,0,31,0
1,3,P0,2,30,1808300508,649,16,16,24416,229,59963,0,1,0
1,4,P0+ipi-proc,2,30,1761870959,1072,16,16,26410,231,59992,1,25,0
2,1,P0+ipi-proc,2,30,1761069085,1087,16,16,24386,221,59987,1,2,0
2,2,P0+ipi-thread,2,30,1759749349,27951,16,16,32752,231,59999,38307,38339,0
2,3,P5-irmao,2,30,1608781115,900,16,16,23013,202,60001,0,1,0
2,4,P0,2,30,1808161199,668,16,16,25217,227,59978,0,25,0
3,1,P0+ipi-proc,2,30,1761319229,4783,16,16,32161,221,59992,0,1,0
3,2,P0+ipi-thread,2,30,1759473759,23243,16,16,721386,250,59946,38166,38212,0
3,3,P0,2,30,1805652957,1102,16,16,796421,299,59877,8,28,0
3,4,P5-irmao,2,30,1607227194,849,16,16,31540,238,59990,1,18,0
4,1,P0+ipi-thread,2,30,1761254220,25935,16,16,21150,247,60000,37926,37946,0
4,2,P0,2,30,1807765399,493,16,16,29967,237,59950,0,0,0
4,3,P5-irmao,2,30,1606098559,709,16,16,29987,234,59992,0,13,0
4,4,P0+ipi-proc,2,30,1762507746,888,16,16,29546,247,59997,1,1,0
5,1,P0+ipi-thread,2,30,1760671148,25734,16,16,29606,221,59997,38104,38122,0
5,2,P0,2,30,1807588910,606,16,16,27061,252,59975,1,14,0
5,3,P0+ipi-proc,2,30,1760935461,880,16,16,26801,242,60007,1,13,0
5,4,P5-irmao,2,30,1605007160,806,16,16,28534,215,59980,0,0,0
