repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P5-irmao,2,30,1598734030,4702,16,16,833870,221,59938,18,15,0
1,2,P0+ipi-thread,2,30,1759638892,27285,16,16,726477,256,59975,38027,38029,0
1,3,P0,2,30,1808180890,792,16,16,493205,235,59971,0,1,0
1,4,P0+ipi-proc,2,30,1760062099,2315,16,16,795427,222,59970,2,4,0
2,1,P0+ipi-thread,2,30,1760187488,27664,16,16,27753,222,60006,38332,38334,0
2,2,P5-irmao,2,30,1608648453,811,16,16,25458,220,59992,0,6,0
2,3,P0,2,30,1808367695,598,16,16,29787,222,59969,0,1,0
2,4,P0+ipi-proc,2,30,1761958406,918,16,16,26220,222,60002,0,1,0
3,1,P0+ipi-proc,2,30,1761702073,1012,16,16,22122,228,59992,0,0,0
3,2,P0,2,30,1808384883,480,16,16,22523,244,59962,0,1,0
3,3,P0+ipi-thread,2,30,1760243176,26723,16,16,24046,230,59997,38258,38260,0
3,4,P5-irmao,2,30,1607792605,810,16,16,34014,200,59997,0,6,0
4,1,P0,2,30,1807965913,449,16,16,25758,235,59983,0,1,0
4,2,P0+ipi-proc,2,30,1760876471,5242,16,16,345505,263,59955,2,3,0
4,3,P0+ipi-thread,2,30,1760151449,27395,16,16,637628,232,59995,38294,38295,0
4,4,P5-irmao,2,30,1608955113,833,16,16,551695,212,59992,0,1,0
5,1,P5-irmao,2,30,1611092147,618,16,16,22061,199,59983,0,0,0
5,2,P0+ipi-thread,2,30,1762347443,20537,16,16,21180,235,59981,38323,38324,0
5,3,P0,2,30,1807702528,406,16,16,32031,228,59962,0,0,0
5,4,P0+ipi-proc,2,30,1761787810,963,16,16,33985,221,59980,0,0,0
