repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1759356402,24489,16,16,689476,248,59842,38354,38360,0
1,2,P5-irmao,2,30,1608733667,1195,16,16,741886,215,59993,0,0,0
1,3,P0+ipi-proc,2,30,1762118376,1674,16,16,714133,228,60000,0,1,0
1,4,P0,2,30,1808117000,551,16,16,501901,236,59985,0,1,0
2,1,P0,2,30,1806965739,918,16,16,734020,225,59929,0,0,0
2,2,P0+ipi-thread,2,30,1754809978,28790,16,16,772724,243,59822,37727,37729,0
2,3,P0+ipi-proc,2,30,1758368119,1483,16,16,795376,245,59912,0,1,0
2,4,P5-irmao,2,30,1604152252,811,16,16,29276,189,59995,0,1,0
3,1,P5-irmao,2,30,1610703989,895,16,16,34616,163,60000,2,3,0
3,2,P0+ipi-thread,2,30,1760926806,27254,16,16,27642,229,59976,38551,38564,0
3,3,P0+ipi-proc,2,30,1761462170,272,16,16,21772,147,59966,0,12,0
3,4,P0,2,30,1807956399,647,16,16,273278,238,59973,0,1,0
4,1,P0+ipi-thread,2,30,1756927046,28427,16,16,669559,247,59682,37344,37351,0
4,2,P0,2,30,1807668478,565,16,16,452117,223,59969,0,0,0
4,3,P0+ipi-proc,2,30,1760332692,901,16,16,26570,220,59941,0,0,0
4,4,P5-irmao,2,30,1606616881,1149,16,16,22813,202,60007,0,0,0
5,1,P0+ipi-proc,2,30,1762013527,882,16,16,28034,225,59998,0,2,0
5,2,P0,2,30,1808347212,558,16,16,22693,219,59976,1,2,0
5,3,P5-irmao,2,30,1600057517,996,16,16,25849,212,59983,1,2,0
5,4,P0+ipi-thread,2,30,1760997478,27656,16,16,24636,218,59999,38206,38207,0
