repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1759807768,19917,16,16,284539,223,59985,38385,38399,0
1,2,P5-irmao,2,30,1606028169,767,16,16,30016,190,59993,0,0,0
1,3,P0,2,30,1808557176,403,16,16,23555,220,59971,0,0,0
1,4,P0+ipi-proc,2,30,1761186302,906,16,16,21631,213,59991,0,7,0
2,1,P0+ipi-proc,2,30,1760931333,608,16,16,24527,210,59988,2,2,0
2,2,P5-irmao,2,30,1604709537,797,16,16,27752,187,59989,0,0,0
2,3,P0,2,30,1808222739,539,16,16,34886,218,59967,1,2,0
2,4,P0+ipi-thread,2,30,1760527795,27897,16,16,28104,212,59994,38385,38386,0
3,1,P0+ipi-proc,2,30,1761581964,242,16,16,21972,162,59988,1,1,0
3,2,P0,2,30,1808383828,569,16,16,29947,223,59972,0,0,0
3,3,P0+ipi-thread,2,30,1759444473,27257,16,16,20338,218,59994,38411,38412,0
3,4,P5-irmao,2,30,1596902733,1259,16,16,28003,211,59970,0,0,0
4,1,P0,2,30,1808648467,619,16,16,21952,227,59970,0,1,0
4,2,P0+ipi-proc,2,30,1761696993,818,16,16,30998,218,59972,1,1,0
4,3,P0+ipi-thread,2,30,1759912888,21849,16,16,21070,219,60002,38317,38320,0
4,4,P5-irmao,2,30,1606231486,1154,16,16,24767,186,59987,0,1,0
5,1,P0+ipi-thread,2,30,1760625638,28074,16,16,19988,217,59995,38458,38460,0
5,2,P0,2,30,1808757970,493,16,16,21140,220,59978,0,1,0
5,3,P0+ipi-proc,2,30,1760750734,1546,16,16,23054,217,60008,0,0,0
5,4,P5-irmao,2,30,1608235435,940,16,16,42811,196,59986,1,8,0
