repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0,2,30,1806790701,1225,16,16,804946,241,59943,8,9,0
1,2,P0+ipi-thread,2,30,1760532484,17977,16,16,27573,213,60015,38326,38328,0
1,3,P0+ipi-proc,2,30,1761334153,207,16,16,16492,152,60005,0,24,0
1,4,P5-irmao,2,30,1606205048,706,16,16,22293,201,60008,0,0,0
2,1,P0,2,30,1808208530,495,16,16,32031,234,59937,1,2,0
2,2,P5-irmao,2,30,1607946898,867,16,16,33694,207,59999,0,6,0
2,3,P0+ipi-thread,2,30,1760928045,27107,16,16,17463,125,60002,38292,38299,0
2,4,P0+ipi-proc,2,30,1761899329,160,16,16,25037,118,59993,0,0,0
3,1,P0,2,30,1808382964,385,16,16,33182,224,59971,0,0,0
3,2,P5-irmao,2,30,1607932793,559,16,16,28555,200,59972,0,0,0
3,3,P0+ipi-thread,2,30,1759645087,25812,16,16,25399,221,59983,38450,38451,0
3,4,P0+ipi-proc,2,30,1760891751,299,16,16,21361,142,59959,0,6,0
4,1,P0+ipi-thread,2,30,1759877913,17602,16,16,20789,124,59982,38442,38444,0
4,2,P0+ipi-proc,2,30,1759902924,346,16,16,20048,117,59957,1,1,0
4,3,P0,2,30,1807821580,622,16,16,24006,215,59970,0,2,0
4,4,P5-irmao,2,30,1606612159,976,16,16,26430,170,59986,0,0,0
5,1,P5-irmao,2,30,1609809514,691,16,16,18585,175,59989,0,0,0
5,2,P0+ipi-proc,2,30,1762406642,524,16,16,22092,205,59983,0,1,0
5,3,P0,2,30,1808236178,488,16,16,24266,214,59960,0,1,0
5,4,P0+ipi-thread,2,30,1759823723,27305,16,16,23344,202,60000,38342,38344,0
