repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1760532645,21368,16,16,677234,234,60001,38221,38222,0
1,2,P0+ipi-proc,2,30,1761774406,199,16,16,17794,155,59999,1,1,0
1,3,P0,2,30,1808349933,414,16,16,28043,225,59995,0,1,0
1,4,P5-irmao,2,30,1594108595,738,16,16,23615,205,59973,0,6,0
2,1,P0+ipi-proc,2,30,1761968546,929,16,16,21951,216,60000,0,1,0
2,2,P0,2,30,1808573232,442,16,16,19236,223,59967,1,1,0
2,3,P5-irmao,2,30,1605819656,906,16,16,20849,196,59993,0,0,0
2,4,P0+ipi-thread,2,30,1761056033,27841,16,16,24667,208,59996,38335,38336,0
3,1,P0+ipi-thread,2,30,1760886764,19205,16,16,17644,148,59990,38421,38422,0
3,2,P5-irmao,2,30,1607483096,1286,16,16,31710,211,59991,0,1,0
3,3,P0,2,30,1808559606,587,16,16,24316,235,59979,1,2,0
3,4,P0+ipi-proc,2,30,1762184337,798,16,16,26521,239,59990,1,8,0
4,1,P5-irmao,2,30,1606744210,827,16,16,22984,215,59978,0,6,0
4,2,P0,2,30,1808807462,421,16,16,27602,250,59981,2,3,0
4,3,P0+ipi-proc,2,30,1762177833,569,16,16,21822,235,60015,1,8,0
4,4,P0+ipi-thread,2,30,1759978421,25294,16,16,23655,229,60003,38033,38034,0
5,1,P0+ipi-thread,2,30,1760006180,24829,16,16,24456,225,60006,38130,38132,0
5,2,P0+ipi-proc,2,30,1760855351,242,16,16,19317,119,59990,0,0,0
5,3,P0,2,30,1807969800,486,16,16,27432,228,59966,0,1,0
5,4,P5-irmao,2,30,1608241221,938,16,16,26721,206,59994,1,1,0
