repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1763596216,15292,16,16,21411,153,60022,38509,38516,0
1,2,P5-irmao,2,30,1610384687,272,16,16,21571,144,59996,0,0,0
1,3,P0,2,30,1808068128,271,16,16,21461,159,60047,0,24,0
1,4,P0+ipi-proc,2,30,1763519688,321,16,16,38553,146,60027,0,0,0
2,1,P0,2,30,1808350805,307,16,16,20730,164,60043,0,18,0
2,2,P0+ipi-proc,2,30,1763267332,297,16,16,22302,138,60032,0,2,0
2,3,P0+ipi-thread,2,30,1761320078,22071,16,16,22363,150,59987,39091,39116,0
2,4,P5-irmao,2,30,1611333506,241,16,16,30407,130,60016,0,0,0
3,1,P5-irmao,2,30,1610874989,291,16,16,21280,119,60019,0,30,0
3,2,P0+ipi-thread,2,30,1762914873,23671,16,16,21571,143,60020,39114,39115,0
3,3,P0+ipi-proc,2,30,1763490709,105,16,16,14487,107,60013,0,6,0
3,4,P0,2,30,1808297312,285,16,16,27852,160,60037,0,0,0
4,1,P0,2,30,1808444267,284,16,16,20317,160,60063,0,24,0
4,2,P0+ipi-proc,2,30,1762521635,306,16,16,22711,152,60041,0,0,0
4,3,P5-irmao,2,30,1607181905,358,16,16,22643,131,60038,0,0,0
4,4,P0+ipi-thread,2,30,1762769460,23943,16,16,21861,153,60046,38226,38239,0
5,1,P5-irmao,2,30,1604158792,336,16,16,23114,144,60040,0,0,0
5,2,P0,2,30,1808426579,301,16,16,20028,165,60038,0,12,0
5,3,P0+ipi-proc,2,30,1763478483,283,16,16,28504,136,60047,1,1,0
5,4,P0+ipi-thread,2,30,1760788550,28480,16,16,22824,135,60046,39098,39111,0
