repeticao,ordem,versao,topologia,cache,get_bulk,get_common,miss_pct
1,1,25.11,simetrico,0,62628,62628,100.00
1,1,26.07,simetrico,0,62628,62628,100.00
1,2,26.07,assimetrico,16,87616,87615,100.00
1,2,25.11,assimetrico,16,87665,87664,100.00
1,3,25.11,assimetrico,48,125262,32083,25.61
1,3,26.07,assimetrico,48,98696,62501,63.33
1,4,26.07,simetrico,512,62628,1,0.00
1,4,25.11,simetrico,512,62628,1,0.00
1,5,25.11,simetrico,16,62628,62628,100.00
1,5,26.07,simetrico,16,62628,62628,100.00
1,6,26.07,assimetrico,256,96846,15625,16.13
1,6,25.11,assimetrico,256,110278,6945,6.30
1,7,25.11,simetrico,48,62628,1,0.00
1,7,26.07,simetrico,48,62628,1,0.00
1,8,26.07,simetrico,64,62628,1,0.00
1,8,25.11,simetrico,64,62628,1,0.00
1,9,25.11,assimetrico,32,109011,37909,34.78
1,9,26.07,assimetrico,32,100901,62501,61.94
1,10,26.07,assimetrico,24,88935,88935,100.00
1,10,25.11,assimetrico,24,98520,62501,63.44
1,11,25.11,simetrico,256,62628,1,0.00
1,11,26.07,simetrico,256,62628,1,0.00
1,12,26.07,simetrico,24,62628,62628,100.00
1,12,25.11,simetrico,24,62628,1,0.00
1,13,25.11,assimetrico,96,108936,15626,14.34
1,13,26.07,assimetrico,96,122437,41667,34.03
1,14,26.07,assimetrico,128,99534,31250,31.40
1,14,25.11,assimetrico,128,110534,12501,11.31
1,15,25.11,simetrico,96,62628,1,0.00
1,15,26.07,simetrico,96,62628,1,0.00
1,16,26.07,assimetrico,512,93448,7813,8.36
1,16,25.11,assimetrico,512,109269,3677,3.37
1,17,25.11,simetrico,128,62628,1,0.00
1,17,26.07,simetrico,128,62628,1,0.00
1,18,26.07,simetrico,32,62628,1,0.00
1,18,25.11,simetrico,32,62628,1,0.00
1,19,25.11,assimetrico,64,125906,20834,16.55
1,19,26.07,assimetrico,64,90470,62500,69.08
1,20,26.07,assimetrico,0,88330,88330,100.00
1,20,25.11,assimetrico,0,99637,99637,100.00
2,1,26.07,assimetrico,32,102778,62501,60.81
2,1,25.11,assimetrico,32,111714,38252,34.24
2,2,25.11,simetrico,48,62628,1,0.00
2,2,26.07,simetrico,48,62628,1,0.00
2,3,26.07,simetrico,96,62628,1,0.00
2,3,25.11,simetrico,96,62628,1,0.00
2,4,25.11,assimetrico,512,110528,3677,3.33
2,4,26.07,assimetrico,512,93474,7813,8.36
2,5,26.07,simetrico,256,62628,1,0.00
2,5,25.11,simetrico,256,62628,1,0.00
2,6,25.11,simetrico,64,62628,1,0.00
2,6,26.07,simetrico,64,62628,1,0.00
2,7,26.07,assimetrico,48,108114,62501,57.81
2,7,25.11,assimetrico,48,124296,31998,25.74
2,8,25.11,assimetrico,0,98155,98155,100.00
2,8,26.07,assimetrico,0,93862,93862,100.00
2,9,26.07,simetrico,16,62628,62628,100.00
2,9,25.11,simetrico,16,62628,62628,100.00
2,10,25.11,assimetrico,256,106784,6945,6.50
2,10,26.07,assimetrico,256,100340,15625,15.57
2,11,26.07,assimetrico,16,90857,90856,100.00
2,11,25.11,assimetrico,16,86202,86200,100.00
2,12,25.11,simetrico,128,62628,1,0.00
2,12,26.07,simetrico,128,62628,1,0.00
2,13,26.07,assimetrico,96,109364,41667,38.10
2,13,25.11,assimetrico,96,111542,15626,14.01
2,14,25.11,simetrico,0,62628,62628,100.00
2,14,26.07,simetrico,0,62628,62628,100.00
2,15,26.07,simetrico,32,62628,1,0.00
2,15,25.11,simetrico,32,62628,1,0.00
2,16,25.11,assimetrico,128,118139,12501,10.58
2,16,26.07,assimetrico,128,108936,31250,28.69
2,17,26.07,assimetrico,64,89263,62500,70.02
2,17,25.11,assimetrico,64,126024,20834,16.53
2,18,25.11,simetrico,512,62628,1,0.00
2,18,26.07,simetrico,512,62628,1,0.00
2,19,26.07,simetrico,24,62628,62628,100.00
2,19,25.11,simetrico,24,62628,1,0.00
2,20,25.11,assimetrico,24,99367,62500,62.90
2,20,26.07,assimetrico,24,88595,88595,100.00
3,1,25.11,simetrico,64,62628,1,0.00
3,1,26.07,simetrico,64,62628,1,0.00
3,2,26.07,assimetrico,64,93620,62500,66.76
3,2,25.11,assimetrico,64,126566,20834,16.46
3,3,25.11,simetrico,0,62628,62628,100.00
3,3,26.07,simetrico,0,62628,62628,100.00
3,4,26.07,simetrico,24,62628,62628,100.00
3,4,25.11,simetrico,24,62628,1,0.00
3,5,25.11,simetrico,512,62628,1,0.00
3,5,26.07,simetrico,512,62628,1,0.00
3,6,26.07,assimetrico,16,91631,91631,100.00
3,6,25.11,assimetrico,16,86040,86038,100.00
3,7,25.11,simetrico,16,62628,62628,100.00
3,7,26.07,simetrico,16,62628,62628,100.00
