repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,simetrico,128,15939440,4391700000,2000000,1.8147
1,1,26.07,simetrico,128,17077544,4391700000,2000000,1.9443
1,2,25.11,assimetrico,24,36850000,4391700000,2000000,4.1954
1,2,26.07,assimetrico,24,37376680,4391700000,2000000,4.2554
1,3,25.11,simetrico,96,17074992,4391700000,2000000,1.9440
1,3,26.07,simetrico,96,17126120,4391700000,2000000,1.9498
1,4,25.11,assimetrico,96,29241036,4391700000,2000000,3.3291
1,4,26.07,assimetrico,96,36117136,4391700000,2000000,4.1120
1,5,25.11,assimetrico,64,35562560,4391700000,2000000,4.0488
1,5,26.07,assimetrico,64,44554796,4391700000,2000000,5.0726
1,6,25.11,assimetrico,256,34777072,4391700000,2000000,3.9594
1,6,26.07,assimetrico,256,35938892,4391700000,2000000,4.0917
1,7,25.11,simetrico,0,23437788,4391700000,2000000,2.6684
1,7,26.07,simetrico,0,24385812,4391700000,2000000,2.7764
1,8,25.11,simetrico,256,20656944,4391700000,2000000,2.3518
1,8,26.07,simetrico,256,22140580,4391700000,2000000,2.5207
1,9,25.11,simetrico,32,20656108,4391700000,2000000,2.3517
1,9,26.07,simetrico,32,22181324,4391700000,2000000,2.5254
1,10,25.11,assimetrico,48,43344708,4391700000,2000000,4.9348
1,10,26.07,assimetrico,48,42587204,4391700000,2000000,4.8486
1,11,25.11,assimetrico,16,46938892,4391700000,2000000,5.3440
1,11,26.07,assimetrico,16,47880360,4391700000,2000000,5.4512
1,12,25.11,simetrico,16,26011568,4391700000,2000000,2.9614
1,12,26.07,simetrico,16,24746172,4391700000,2000000,2.8174
1,13,25.11,simetrico,64,20662752,4391700000,2000000,2.3525
1,13,26.07,simetrico,64,22167816,4391700000,2000000,2.5238
1,14,25.11,simetrico,24,20625440,4391700000,2000000,2.3482
1,14,26.07,simetrico,24,24716912,4391700000,2000000,2.8140
1,15,25.11,assimetrico,32,43217768,4391700000,2000000,4.9204
1,15,26.07,assimetrico,32,43092368,4391700000,2000000,4.9061
1,16,25.11,simetrico,512,20691352,4391700000,2000000,2.3557
1,16,26.07,simetrico,512,22148984,4391700000,2000000,2.5217
1,17,25.11,assimetrico,0,50190008,4391700000,2000000,5.7142
1,17,26.07,assimetrico,0,48948548,4391700000,2000000,5.5728
1,18,25.11,assimetrico,128,37082540,4391700000,2000000,4.2219
1,18,26.07,assimetrico,128,38492300,4391700000,2000000,4.3824
1,19,25.11,assimetrico,512,34135464,4391700000,2000000,3.8864
1,19,26.07,assimetrico,512,33858880,4391700000,2000000,3.8549
1,20,25.11,simetrico,48,20640884,4391700000,2000000,2.3500
1,20,26.07,simetrico,48,22107448,4391700000,2000000,2.5170
2,1,25.11,assimetrico,0,49033028,4391700000,2000000,5.5825
2,1,26.07,assimetrico,0,46074072,4391700000,2000000,5.2456
2,2,25.11,simetrico,128,20591824,4391700000,2000000,2.3444
2,2,26.07,simetrico,128,22209440,4391700000,2000000,2.5286
2,3,25.11,assimetrico,32,44721600,4391700000,2000000,5.0916
2,3,26.07,assimetrico,32,42353740,4391700000,2000000,4.8220
2,4,25.11,assimetrico,512,33846560,4391700000,2000000,3.8535
2,4,26.07,assimetrico,512,34806024,4391700000,2000000,3.9627
2,5,25.11,assimetrico,24,49019652,4391700000,2000000,5.5809
2,5,26.07,assimetrico,24,46827968,4391700000,2000000,5.3314
2,6,25.11,assimetrico,96,36599112,4391700000,2000000,4.1669
2,6,26.07,assimetrico,96,45894904,4391700000,2000000,5.2252
2,7,25.11,assimetrico,256,34756788,4391700000,2000000,3.9571
2,7,26.07,assimetrico,256,36259960,4391700000,2000000,4.1282
2,8,25.11,assimetrico,48,41678076,4391700000,2000000,4.7451
2,8,26.07,assimetrico,48,43103192,4391700000,2000000,4.9073
2,9,25.11,simetrico,16,26006200,4391700000,2000000,2.9608
2,9,26.07,simetrico,16,24730992,4391700000,2000000,2.8157
2,10,25.11,simetrico,64,20633712,4391700000,2000000,2.3492
2,10,26.07,simetrico,64,22149556,4391700000,2000000,2.5218
2,11,25.11,assimetrico,16,46954424,4391700000,2000000,5.3458
2,11,26.07,assimetrico,16,49827712,4391700000,2000000,5.6729
2,12,25.11,simetrico,96,20626276,4391700000,2000000,2.3483
2,12,26.07,simetrico,96,22169092,4391700000,2000000,2.5240
2,13,25.11,simetrico,24,20614352,4391700000,2000000,2.3470
2,13,26.07,simetrico,24,24705516,4391700000,2000000,2.8128
2,14,25.11,assimetrico,128,37046548,4391700000,2000000,4.2178
2,14,26.07,assimetrico,128,39102404,4391700000,2000000,4.4519
2,15,25.11,simetrico,32,20645504,4391700000,2000000,2.3505
2,15,26.07,simetrico,32,22181148,4391700000,2000000,2.5253
2,16,25.11,simetrico,48,20630412,4391700000,2000000,2.3488
2,16,26.07,simetrico,48,22192896,4391700000,2000000,2.5267
2,17,25.11,assimetrico,64,40542656,4391700000,2000000,4.6158
2,17,26.07,assimetrico,64,45355508,4391700000,2000000,5.1638
2,18,25.11,simetrico,512,20628652,4391700000,2000000,2.3486
2,18,26.07,simetrico,512,22157036,4391700000,2000000,2.5226
2,19,25.11,simetrico,256,20768220,4391700000,2000000,2.3645
2,19,26.07,simetrico,256,22252384,4391700000,2000000,2.5335
2,20,25.11,simetrico,0,23158080,4391700000,2000000,2.6366
2,20,26.07,simetrico,0,24873156,4391700000,2000000,2.8318
3,1,25.11,assimetrico,64,40899276,4391700000,2000000,4.6564
3,1,26.07,assimetrico,64,45117248,4391700000,2000000,5.1366
3,2,25.11,assimetrico,0,48975608,4391700000,2000000,5.5759
3,2,26.07,assimetrico,0,47911996,4391700000,2000000,5.4548
3,3,25.11,simetrico,256,20636308,4391700000,2000000,2.3495
3,3,26.07,simetrico,256,22211772,4391700000,2000000,2.5288
3,4,25.11,simetrico,128,20673268,4391700000,2000000,2.3537
3,4,26.07,simetrico,128,22191972,4391700000,2000000,2.5266
3,5,25.11,assimetrico,48,42926004,4391700000,2000000,4.8872
3,5,26.07,assimetrico,48,43419552,4391700000,2000000,4.9434
3,6,25.11,simetrico,32,20693200,4391700000,2000000,2.3559
3,6,26.07,simetrico,32,22177276,4391700000,2000000,2.5249
3,7,25.11,assimetrico,512,34390004,4391700000,2000000,3.9153
3,7,26.07,assimetrico,512,34696332,4391700000,2000000,3.9502
3,8,25.11,simetrico,0,22951456,4391700000,2000000,2.6130
3,8,26.07,simetrico,0,24480720,4391700000,2000000,2.7872
3,9,25.11,simetrico,48,20615320,4391700000,2000000,2.3471
3,9,26.07,simetrico,48,22159720,4391700000,2000000,2.5229
3,10,25.11,simetrico,16,26049540,4391700000,2000000,2.9658
3,10,26.07,simetrico,16,24741332,4391700000,2000000,2.8168
3,11,25.11,assimetrico,24,48388208,4391700000,2000000,5.5091
3,11,26.07,assimetrico,24,46745468,4391700000,2000000,5.3220
3,12,25.11,simetrico,96,20665964,4391700000,2000000,2.3528
3,12,26.07,simetrico,96,22036520,4391700000,2000000,2.5089
3,13,25.11,simetrico,512,20661872,4391700000,2000000,2.3524
3,13,26.07,simetrico,512,22178024,4391700000,2000000,2.5250
3,14,25.11,assimetrico,96,35757876,4391700000,2000000,4.0711
3,14,26.07,assimetrico,96,46768876,4391700000,2000000,5.3247
3,15,25.11,assimetrico,256,35384932,4391700000,2000000,4.0286
3,15,26.07,assimetrico,256,35771780,4391700000,2000000,4.0727
3,16,25.11,assimetrico,32,43312676,4391700000,2000000,4.9312
3,16,26.07,assimetrico,32,42707500,4391700000,2000000,4.8623
3,17,25.11,assimetrico,128,36054612,4391700000,2000000,4.1049
3,17,26.07,assimetrico,128,39002084,4391700000,2000000,4.4404
3,18,25.11,assimetrico,16,45944492,4391700000,2000000,5.2308
3,18,26.07,assimetrico,16,48047032,4391700000,2000000,5.4702
3,19,25.11,simetrico,24,20596356,4391700000,2000000,2.3449
3,19,26.07,simetrico,24,24847944,4391700000,2000000,2.8290
3,20,25.11,simetrico,64,20623064,4391700000,2000000,2.3480
3,20,26.07,simetrico,64,22101068,4391700000,2000000,2.5162
4,1,25.11,simetrico,0,22942436,4391700000,2000000,2.6120
4,1,26.07,simetrico,0,24375648,4391700000,2000000,2.7752
4,2,25.11,assimetrico,32,42727036,4391700000,2000000,4.8645
4,2,26.07,assimetrico,32,42800076,4391700000,2000000,4.8728
4,3,25.11,simetrico,96,20615012,4391700000,2000000,2.3470
4,3,26.07,simetrico,96,22192544,4391700000,2000000,2.5266
4,4,25.11,assimetrico,64,41105416,4391700000,2000000,4.6799
4,4,26.07,assimetrico,64,45886236,4391700000,2000000,5.2242
4,5,25.11,simetrico,24,20591296,4391700000,2000000,2.3443
4,5,26.07,simetrico,24,24705956,4391700000,2000000,2.8128
4,6,25.11,assimetrico,16,47780216,4391700000,2000000,5.4398
4,6,26.07,assimetrico,16,47628900,4391700000,2000000,5.4226
4,7,25.11,assimetrico,512,34158784,4391700000,2000000,3.8890
4,7,26.07,assimetrico,512,34472812,4391700000,2000000,3.9248
