repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1762944255,15691,16,16,21371,164,60035,37912,37941,0
1,2,P0,2,30,1808334224,255,16,16,20559,139,60065,0,0,0
1,3,P0+ipi-proc,2,30,1763103173,310,16,16,24286,166,60028,0,3,0
1,4,P5-irmao,2,30,1607177306,350,16,16,23735,156,60012,0,21,0
2,1,P0+ipi-proc,2,30,1764038393,329,16,16,21090,165,60040,0,0,0
2,2,P0+ipi-thread,2,30,1761917723,21734,16,16,21421,164,60046,37982,38007,0
2,3,P5-irmao,2,30,1608020867,329,16,16,35147,152,60007,0,0,0
2,4,P0,2,30,1808511816,304,16,16,22122,154,60024,0,30,0
3,1,P5-irmao,2,30,1607887515,364,16,16,21501,156,60028,0,2,0
3,2,P0+ipi-proc,2,30,1763920102,349,16,16,22041,156,60054,0,24,0
3,3,P0,2,30,1808338573,289,16,16,23715,149,60072,0,0,0
3,4,P0+ipi-thread,2,30,1761732167,21478,16,16,20980,145,60046,37919,37932,0
4,1,P0+ipi-proc,2,30,1762884147,107,16,16,14207,110,60067,0,0,0
4,2,P5-irmao,2,30,1608035962,458,16,16,21941,152,60054,0,18,0
4,3,P0+ipi-thread,2,30,1762044977,23429,16,16,21200,162,60048,37877,37878,0
4,4,P0,2,30,1808751731,292,16,16,20479,161,60046,0,18,0
5,1,P5-irmao,2,30,1602332323,487,16,16,21580,158,60064,0,6,0
5,2,P0,2,30,1808385039,279,16,16,20689,153,60059,0,0,0
5,3,P0+ipi-thread,2,30,1761591285,26302,16,16,21631,171,60034,37684,37703,0
5,4,P0+ipi-proc,2,30,1762939710,120,16,16,28434,128,60027,0,0,0
