repeticao,ordem,versao,topologia,cache,get_bulk,get_common,miss_pct
1,1,25.11,simetrico,32,62628,1,0.00
1,1,26.07,simetrico,32,62628,1,0.00
1,2,26.07,assimetrico,16,88010,88010,100.00
1,2,25.11,assimetrico,16,86980,86978,100.00
1,3,25.11,simetrico,0,62628,62628,100.00
1,3,26.07,simetrico,0,62628,62628,100.00
1,4,26.07,assimetrico,0,87915,87915,100.00
1,4,25.11,assimetrico,0,100308,100308,100.00
1,5,25.11,simetrico,48,62628,1,0.00
1,5,26.07,simetrico,48,62628,1,0.00
1,6,26.07,assimetrico,64,93375,62500,66.93
1,6,25.11,assimetrico,64,122500,20834,17.01
1,7,25.11,simetrico,64,62628,1,0.00
1,7,26.07,simetrico,64,62628,1,0.00
1,8,26.07,simetrico,512,62628,1,0.00
1,8,25.11,simetrico,512,62628,1,0.00
1,9,25.11,simetrico,24,62628,1,0.00
1,9,26.07,simetrico,24,62628,62628,100.00
1,10,26.07,simetrico,96,62628,1,0.00
1,10,25.11,simetrico,96,62628,1,0.00
1,11,25.11,assimetrico,48,125287,32107,25.63
1,11,26.07,assimetrico,48,107975,62501,57.88
1,12,26.07,assimetrico,256,95318,15625,16.39
1,12,25.11,assimetrico,256,110214,6945,6.30
1,13,25.11,assimetrico,96,108670,15626,14.38
1,13,26.07,assimetrico,96,117536,41667,35.45
1,14,26.07,assimetrico,512,92398,7813,8.46
1,14,25.11,assimetrico,512,116217,3677,3.16
1,15,25.11,simetrico,16,62628,62628,100.00
1,15,26.07,simetrico,16,62628,62628,100.00
1,16,26.07,simetrico,256,62628,1,0.00
1,16,25.11,simetrico,256,62628,1,0.00
1,17,25.11,simetrico,128,62628,1,0.00
1,17,26.07,simetrico,128,62628,1,0.00
1,18,26.07,assimetrico,128,99007,31250,31.56
1,18,25.11,assimetrico,128,115958,12501,10.78
1,19,25.11,assimetrico,24,100578,62501,62.14
1,19,26.07,assimetrico,24,87232,87231,100.00
1,20,26.07,assimetrico,32,100676,62501,62.08
1,20,25.11,assimetrico,32,108727,37701,34.67
2,1,26.07,assimetrico,128,98329,31250,31.78
2,1,25.11,assimetrico,128,120489,12501,10.38
2,2,25.11,simetrico,48,62628,1,0.00
2,2,26.07,simetrico,48,62628,1,0.00
2,3,26.07,assimetrico,64,91015,62500,68.67
2,3,25.11,assimetrico,64,124985,20834,16.67
2,4,25.11,assimetrico,96,110334,15626,14.16
2,4,26.07,assimetrico,96,107852,41667,38.63
2,5,26.07,assimetrico,512,92417,7813,8.45
2,5,25.11,assimetrico,512,111914,3677,3.29
2,6,25.11,simetrico,256,62628,1,0.00
2,6,26.07,simetrico,256,62628,1,0.00
2,7,26.07,simetrico,512,62628,1,0.00
2,7,25.11,simetrico,512,62628,1,0.00
2,8,25.11,simetrico,0,62628,62628,100.00
2,8,26.07,simetrico,0,62628,62628,100.00
2,9,26.07,assimetrico,256,95459,15625,16.37
2,9,25.11,assimetrico,256,109224,6945,6.36
2,10,25.11,assimetrico,0,95179,95179,100.00
2,10,26.07,assimetrico,0,88834,88834,100.00
2,11,26.07,simetrico,64,62628,1,0.00
2,11,25.11,simetrico,64,62628,1,0.00
2,12,25.11,assimetrico,48,125002,32245,25.80
2,12,26.07,assimetrico,48,101497,62501,61.58
2,13,26.07,simetrico,16,62628,62628,100.00
2,13,25.11,simetrico,16,62628,62628,100.00
2,14,25.11,simetrico,24,62628,1,0.00
2,14,26.07,simetrico,24,62628,62628,100.00
2,15,26.07,simetrico,128,62628,1,0.00
2,15,25.11,simetrico,128,62628,1,0.00
2,16,25.11,simetrico,32,62628,1,0.00
2,16,26.07,simetrico,32,62628,1,0.00
2,17,26.07,assimetrico,24,87622,87622,100.00
2,17,25.11,assimetrico,24,102498,62501,60.98
2,18,25.11,simetrico,96,62628,1,0.00
2,18,26.07,simetrico,96,62628,1,0.00
2,19,26.07,assimetrico,32,108030,62501,57.86
2,19,25.11,assimetrico,32,109540,37237,33.99
2,20,25.11,assimetrico,16,86597,86596,100.00
2,20,26.07,assimetrico,16,86969,86968,100.00
3,1,25.11,assimetrico,512,109330,3677,3.36
3,1,26.07,assimetrico,512,93918,7813,8.32
3,2,26.07,assimetrico,32,105022,62501,59.51
3,2,25.11,assimetrico,32,110518,38377,34.72
3,3,25.11,simetrico,512,62628,1,0.00
3,3,26.07,simetrico,512,62628,1,0.00
3,4,26.07,assimetrico,48,100078,62501,62.45
3,4,25.11,assimetrico,48,127177,32506,25.56
3,5,25.11,assimetrico,256,110664,6945,6.28
3,5,26.07,assimetrico,256,96658,15625,16.17
3,6,26.07,simetrico,96,62628,1,0.00
3,6,25.11,simetrico,96,62628,1,0.00
3,7,25.11,assimetrico,16,88138,88136,100.00
3,7,26.07,assimetrico,16,92469,92468,100.00
3,8,26.07,assimetrico,96,108353,41667,38.45
3,8,25.11,assimetrico,96,107592,15626,14.52
3,9,25.11,assimetrico,24,98829,62501,63.24
3,9,26.07,assimetrico,24,90889,90888,100.00
3,10,26.07,simetrico,64,62628,1,0.00
3,10,25.11,simetrico,64,62628,1,0.00
3,11,25.11,assimetrico,64,128479,20834,16.22
3,11,26.07,assimetrico,64,88903,62500,70.30
3,12,26.07,simetrico,256,62628,1,0.00
3,12,25.11,simetrico,256,62628,1,0.00
3,13,25.11,simetrico,48,62628,1,0.00
3,13,26.07,simetrico,48,62628,1,0.00
3,14,26.07,simetrico,32,62628,1,0.00
3,14,25.11,simetrico,32,62628,1,0.00
3,15,25.11,simetrico,128,62628,1,0.00
3,15,26.07,simetrico,128,62628,1,0.00
3,16,26.07,assimetrico,0,87902,87902,100.00
3,16,25.11,assimetrico,0,96322,96322,100.00
3,17,25.11,simetrico,24,62628,1,0.00
3,17,26.07,simetrico,24,62628,62628,100.00
3,18,26.07,simetrico,16,62628,62628,100.00
3,18,25.11,simetrico,16,62628,62628,100.00
3,19,25.11,assimetrico,128,119237,12501,10.48
3,19,26.07,assimetrico,128,98058,31250,31.87
3,20,26.07,simetrico,0,62628,62628,100.00
3,20,25.11,simetrico,0,62628,62628,100.00
4,1,26.07,assimetrico,0,86223,86223,100.00
4,1,25.11,assimetrico,0,95344,95344,100.00
4,2,25.11,simetrico,24,62628,1,0.00
4,2,26.07,simetrico,24,62628,62628,100.00
4,3,26.07,assimetrico,128,101393,31250,30.82
4,3,25.11,assimetrico,128,118477,12501,10.55
4,4,25.11,simetrico,96,62628,1,0.00
4,4,26.07,simetrico,96,62628,1,0.00
4,5,26.07,simetrico,32,62628,1,0.00
4,5,25.11,simetrico,32,62628,1,0.00
4,6,25.11,assimetrico,24,99016,62500,63.12
4,6,26.07,assimetrico,24,88499,88498,100.00
4,7,26.07,simetrico,64,62628,1,0.00
4,7,25.11,simetrico,64,62628,1,0.00
4,8,25.11,assimetrico,512,110450,3677,3.33
4,8,26.07,assimetrico,512,93211,7813,8.38
4,9,26.07,simetrico,128,62628,1,0.00
4,9,25.11,simetrico,128,62628,1,0.00
4,10,25.11,assimetrico,16,87123,87121,100.00
4,10,26.07,assimetrico,16,88259,88259,100.00
4,11,26.07,assimetrico,64,96026,62500,65.09
4,11,25.11,assimetrico,64,127143,20834,16.39
4,12,25.11,simetrico,512,62628,1,0.00
4,12,26.07,simetrico,512,62628,1,0.00
4,13,26.07,assimetrico,48,99960,62501,62.53
4,13,25.11,assimetrico,48,125212,32393,25.87
4,14,25.11,assimetrico,96,111676,15626,13.99
4,14,26.07,assimetrico,96,112742,41667,36.96
4,15,26.07,simetrico,16,62628,62628,100.00
4,15,25.11,simetrico,16,62628,62628,100.00
4,16,25.11,simetrico,48,62628,1,0.00
4,16,26.07,simetrico,48,62628,1,0.00
4,17,26.07,simetrico,0,62628,62628,100.00
4,17,25.11,simetrico,0,62628,62628,100.00
4,18,25.11,simetrico,256,62628,1,0.00
4,18,26.07,simetrico,256,62628,1,0.00
4,19,26.07,assimetrico,32,99071,62501,63.09
4,19,25.11,assimetrico,32,111180,38252,34.41
4,20,25.11,assimetrico,256,109058,6945,6.37
4,20,26.07,assimetrico,256,101903,15625,15.33
5,1,25.11,assimetrico,512,113644,3677,3.24
5,1,26.07,assimetrico,512,103190,7813,7.57
5,2,26.07,simetrico,256,62628,1,0.00
5,2,25.11,simetrico,256,62628,1,0.00
5,3,25.11,simetrico,32,62628,1,0.00
5,3,26.07,simetrico,32,62628,1,0.00
5,4,26.07,simetrico,64,62628,1,0.00
5,4,25.11,simetrico,64,62628,1,0.00
5,5,25.11,simetrico,24,62628,1,0.00
5,5,26.07,simetrico,24,62628,62628,100.00
5,6,26.07,assimetrico,16,88356,88354,100.00
5,6,25.11,assimetrico,16,86139,86138,100.00
5,7,25.11,assimetrico,128,109166,12501,11.45
5,7,26.07,assimetrico,128,101191,31250,30.88
5,8,26.07,assimetrico,32,103070,62501,60.64
5,8,25.11,assimetrico,32,109474,37854,34.58
5,9,25.11,assimetrico,96,112055,15626,13.94
5,9,26.07,assimetrico,96,108048,41667,38.56
5,10,26.07,simetrico,128,62628,1,0.00
5,10,25.11,simetrico,128,62628,1,0.00
5,11,25.11,assimetrico,64,128309,20834,16.24
5,11,26.07,assimetrico,64,95303,62500,65.58
5,12,26.07,simetrico,0,62628,62628,100.00
5,12,25.11,simetrico,0,62628,62628,100.00
5,13,25.11,simetrico,48,62628,1,0.00
5,13,26.07,simetrico,48,62628,1,0.00
5,14,26.07,assimetrico,256,94353,15625,16.56
5,14,25.11,assimetrico,256,114248,6945,6.08
5,15,25.11,assimetrico,0,99950,99950,100.00
5,15,26.07,assimetrico,0,89324,89324,100.00
5,16,26.07,simetrico,16,62628,62628,100.00
5,16,25.11,simetrico,16,62628,62628,100.00
5,17,25.11,simetrico,96,62628,1,0.00
5,17,26.07,simetrico,96,62628,1,0.00
5,18,26.07,simetrico,512,62628,1,0.00
5,18,25.11,simetrico,512,62628,1,0.00
5,19,25.11,assimetrico,48,127139,32677,25.70
5,19,26.07,assimetrico,48,98380,62501,63.53
5,20,26.07,assimetrico,24,87869,87869,100.00
5,20,25.11,assimetrico,24,103027,62501,60.66
6,1,26.07,assimetrico,512,96062,7813,8.13
6,1,25.11,assimetrico,512,107571,3677,3.42
6,2,25.11,simetrico,16,62628,62628,100.00
6,2,26.07,simetrico,16,62628,62628,100.00
6,3,26.07,assimetrico,24,90480,90479,100.00
6,3,25.11,assimetrico,24,101684,62500,61.46
6,4,25.11,assimetrico,32,109193,37966,34.77
6,4,26.07,assimetrico,32,100395,62501,62.26
6,5,26.07,simetrico,128,62628,1,0.00
6,5,25.11,simetrico,128,62628,1,0.00
6,6,25.11,assimetrico,0,101151,101151,100.00
6,6,26.07,assimetrico,0,87025,87025,100.00
6,7,26.07,assimetrico,16,90320,90320,100.00
6,7,25.11,assimetrico,16,86849,86842,99.99
6,8,25.11,assimetrico,128,116220,12501,10.76
6,8,26.07,assimetrico,128,100212,31250,31.18
6,9,26.07,assimetrico,64,92278,62500,67.73
6,9,25.11,assimetrico,64,121988,20834,17.08
6,10,25.11,assimetrico,256,100871,6945,6.89
6,10,26.07,assimetrico,256,100842,15625,15.49
6,11,26.07,simetrico,96,62628,1,0.00
6,11,25.11,simetrico,96,62628,1,0.00
6,12,25.11,simetrico,48,62628,1,0.00
6,12,26.07,simetrico,48,62628,1,0.00
6,13,26.07,simetrico,32,62628,1,0.00
6,13,25.11,simetrico,32,62628,1,0.00
6,14,25.11,simetrico,0,62628,62628,100.00
6,14,26.07,simetrico,0,62628,62628,100.00
6,15,26.07,assimetrico,48,102817,62501,60.79
6,15,25.11,assimetrico,48,129301,33798,26.14
6,16,25.11,simetrico,512,62628,1,0.00
6,16,26.07,simetrico,512,62628,1,0.00
6,17,26.07,assimetrico,96,107849,41667,38.63
6,17,25.11,assimetrico,96,114024,15626,13.70
6,18,25.11,simetrico,256,62628,1,0.00
6,18,26.07,simetrico,256,62628,1,0.00
6,19,26.07,simetrico,24,62628,62628,100.00
6,19,25.11,simetrico,24,62628,1,0.00
6,20,25.11,simetrico,64,62628,1,0.00
6,20,26.07,simetrico,64,62628,1,0.00
