repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,simetrico,256,15941992,4391800000,2000000,1.8150
1,1,26.07,simetrico,256,17076532,4391800000,2000000,1.9441
1,2,25.11,simetrico,128,15912644,4391800000,2000000,1.8116
1,2,26.07,simetrico,128,17136592,4391800000,2000000,1.9510
1,3,25.11,assimetrico,0,40146656,4391800000,2000000,4.5706
1,3,26.07,assimetrico,0,36787696,4391800000,2000000,4.1882
1,4,25.11,assimetrico,48,33011220,4391800000,2000000,3.7583
1,4,26.07,assimetrico,48,32925772,4391800000,2000000,3.7486
1,5,25.11,assimetrico,128,34290476,4391800000,2000000,3.9039
1,5,26.07,assimetrico,128,38340940,4391800000,2000000,4.3651
1,6,25.11,assimetrico,64,41573928,4391800000,2000000,4.7331
1,6,26.07,assimetrico,64,45968912,4391800000,2000000,5.2335
1,7,25.11,simetrico,96,20723560,4391800000,2000000,2.3593
1,7,26.07,simetrico,96,22325776,4391800000,2000000,2.5418
1,8,25.11,simetrico,0,23061632,4391800000,2000000,2.6255
1,8,26.07,simetrico,0,24383172,4391800000,2000000,2.7760
1,9,25.11,simetrico,16,25971616,4391800000,2000000,2.9568
1,9,26.07,simetrico,16,24666796,4391800000,2000000,2.8083
1,10,25.11,assimetrico,512,34952940,4391800000,2000000,3.9793
1,10,26.07,assimetrico,512,33571736,4391800000,2000000,3.8221
1,11,25.11,simetrico,24,20648056,4391800000,2000000,2.3508
1,11,26.07,simetrico,24,24681008,4391800000,2000000,2.8099
1,12,25.11,simetrico,512,20648276,4391800000,2000000,2.3508
1,12,26.07,simetrico,512,22299772,4391800000,2000000,2.5388
1,13,25.11,assimetrico,96,37814084,4391800000,2000000,4.3051
1,13,26.07,assimetrico,96,46138576,4391800000,2000000,5.2528
1,14,25.11,assimetrico,16,48312396,4391800000,2000000,5.5003
1,14,26.07,assimetrico,16,47101164,4391800000,2000000,5.3624
1,15,25.11,assimetrico,24,48144272,4391800000,2000000,5.4812
1,15,26.07,assimetrico,24,47982000,4391800000,2000000,5.4627
1,16,25.11,simetrico,64,20642556,4391800000,2000000,2.3501
1,16,26.07,simetrico,64,22355960,4391800000,2000000,2.5452
1,17,25.11,assimetrico,32,43754172,4391800000,2000000,4.9813
1,17,26.07,assimetrico,32,43310696,4391800000,2000000,4.9309
1,18,25.11,simetrico,48,20665876,4391800000,2000000,2.3528
1,18,26.07,simetrico,48,22148544,4391800000,2000000,2.5216
1,19,25.11,assimetrico,256,35291300,4391800000,2000000,4.0179
1,19,26.07,assimetrico,256,36565452,4391800000,2000000,4.1629
1,20,25.11,simetrico,32,20661168,4391800000,2000000,2.3522
1,20,26.07,simetrico,32,22188760,4391800000,2000000,2.5262
2,1,25.11,simetrico,128,20535504,4391800000,2000000,2.3379
2,1,26.07,simetrico,128,22185944,4391800000,2000000,2.5258
2,2,25.11,assimetrico,32,43400412,4391800000,2000000,4.9411
2,2,26.07,assimetrico,32,42971412,4391800000,2000000,4.8922
2,3,25.11,simetrico,48,20602032,4391800000,2000000,2.3455
2,3,26.07,simetrico,48,22169752,4391800000,2000000,2.5240
2,4,25.11,simetrico,64,20708248,4391800000,2000000,2.3576
2,4,26.07,simetrico,64,22216788,4391800000,2000000,2.5293
2,5,25.11,assimetrico,48,42532776,4391800000,2000000,4.8423
2,5,26.07,assimetrico,48,42684840,4391800000,2000000,4.8596
2,6,25.11,simetrico,256,20616552,4391800000,2000000,2.3472
2,6,26.07,simetrico,256,22169532,4391800000,2000000,2.5240
2,7,25.11,assimetrico,16,46532464,4391800000,2000000,5.2977
2,7,26.07,assimetrico,16,48258496,4391800000,2000000,5.4942
2,8,25.11,simetrico,24,20789296,4391800000,2000000,2.3668
2,8,26.07,simetrico,24,24756908,4391800000,2000000,2.8185
2,9,25.11,assimetrico,24,48829396,4391800000,2000000,5.5592
2,9,26.07,assimetrico,24,48109380,4391800000,2000000,5.4772
