repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P5-irmao,2,30,1610437804,304,16,16,21721,123,60010,0,0,0
1,2,P0+ipi-proc,2,30,1766805664,393,16,16,23995,140,60032,0,0,0
1,3,P0+ipi-thread,2,30,1764199852,21145,16,16,21801,129,60030,37459,37460,0
1,4,P0,2,30,1808735361,259,16,16,19808,143,60031,0,0,0
2,1,P0+ipi-proc,2,30,1765074850,317,16,16,21180,141,60033,0,2,0
2,2,P0,2,30,1808366231,300,16,16,22904,152,60033,0,0,0
2,3,P0+ipi-thread,2,30,1763252901,16379,16,16,20869,132,60036,36788,36789,0
2,4,P5-irmao,2,30,1610496557,319,16,16,22973,131,60007,0,0,0
3,1,P0,2,30,1808009485,288,16,16,20458,148,60039,0,0,0
3,2,P0+ipi-proc,2,30,1765474095,312,16,16,22021,147,60038,1,1,0
3,3,P0+ipi-thread,2,30,1763665398,17507,16,16,21911,140,60028,37585,37586,0
3,4,P5-irmao,2,30,1610425873,308,16,16,24667,133,60029,0,0,0
4,1,P0+ipi-proc,2,30,1765336209,1360,16,16,21570,144,60058,0,0,0
4,2,P0,2,30,1808556751,277,16,16,22041,138,60054,0,0,0
4,3,P5-irmao,2,30,1611615693,326,16,16,24566,126,60041,0,0,0
4,4,P0+ipi-thread,2,30,1764274557,22750,16,16,22002,132,60041,38067,38068,0
5,1,P0,2,30,1808404805,265,16,16,23234,132,60052,0,0,0
5,2,P5-irmao,2,30,1611577224,295,16,16,41949,123,60038,0,0,0
5,3,P0+ipi-proc,2,30,1765361897,322,16,16,22302,136,60030,0,0,0
5,4,P0+ipi-thread,2,30,1763732535,15182,16,16,21491,144,60011,38199,38200,0
