repeticao,ordem,versao,topologia,cache,get_bulk,get_common,miss_pct
1,1,25.11,assimetrico,16,86435,86430,99.99
1,1,26.07,assimetrico,16,87396,87396,100.00
1,2,26.07,simetrico,32,62628,1,0.00
1,2,25.11,simetrico,32,62628,1,0.00
1,3,25.11,assimetrico,48,124421,32383,26.03
1,3,26.07,assimetrico,48,102288,62501,61.10
1,4,26.07,simetrico,16,62628,62628,100.00
1,4,25.11,simetrico,16,62628,62628,100.00
1,5,25.11,simetrico,64,62628,1,0.00
1,5,26.07,simetrico,64,62628,1,0.00
1,6,26.07,simetrico,24,62628,62628,100.00
1,6,25.11,simetrico,24,62628,1,0.00
1,7,25.11,assimetrico,24,100647,62501,62.10
1,7,26.07,assimetrico,24,87910,87907,100.00
1,8,26.07,simetrico,48,62628,1,0.00
1,8,25.11,simetrico,48,62628,1,0.00
1,9,25.11,simetrico,0,62628,62628,100.00
1,9,26.07,simetrico,0,62628,62628,100.00
1,10,26.07,simetrico,128,62628,1,0.00
1,10,25.11,simetrico,128,62628,1,0.00
1,11,25.11,assimetrico,512,100189,3677,3.67
1,11,26.07,assimetrico,512,93425,7813,8.36
1,12,26.07,simetrico,256,62628,1,0.00
1,12,25.11,simetrico,256,62628,1,0.00
1,13,25.11,assimetrico,0,97378,97378,100.00
1,13,26.07,assimetrico,0,91758,91758,100.00
1,14,26.07,assimetrico,32,96898,62501,64.50
1,14,25.11,assimetrico,32,111919,38401,34.31
1,15,25.11,assimetrico,64,126707,20834,16.44
1,15,26.07,assimetrico,64,90977,62500,68.70
1,16,26.07,assimetrico,256,93855,15625,16.65
1,16,25.11,assimetrico,256,109932,6945,6.32
1,17,25.11,simetrico,512,62628,1,0.00
1,17,26.07,simetrico,512,62628,1,0.00
1,18,26.07,assimetrico,96,122995,41667,33.88
1,18,25.11,assimetrico,96,110239,15626,14.17
1,19,25.11,assimetrico,128,116506,12501,10.73
1,19,26.07,assimetrico,128,105875,31250,29.52
1,20,26.07,simetrico,96,62628,1,0.00
1,20,25.11,simetrico,96,62628,1,0.00
