repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-proc,2,30,1750203677,447,16,16,21230,172,60037,0,0,0
1,2,P0,2,30,1803317860,285,16,16,20178,166,60036,0,24,0
1,3,P5-irmao,2,30,1592642742,339,16,16,26510,159,60029,0,0,0
1,4,P0+ipi-thread,2,30,1748634334,22758,16,16,21932,160,60023,37785,37804,0
2,1,P0,2,30,1803591214,284,16,16,23575,157,60055,0,0,0
2,2,P5-irmao,2,30,1589561421,393,16,16,24046,160,59872,0,18,0
2,3,P0+ipi-proc,2,30,1750737027,364,16,16,21101,172,60002,0,2,0
2,4,P0+ipi-thread,2,30,1748398883,18468,16,16,38674,169,60015,37778,37803,0
3,1,P0+ipi-proc,2,30,1749690293,110,16,16,14378,113,60019,0,0,0
3,2,P0,2,30,1803095302,303,16,16,21261,166,60051,0,3,0
3,3,P0+ipi-thread,2,30,1746788858,25498,16,16,21270,170,60029,37752,37774,0
3,4,P5-irmao,2,30,1587996080,459,16,16,30298,163,60019,0,0,0
4,1,P5-irmao,2,30,1590518205,467,16,16,22423,157,60021,0,30,0
4,2,P0,2,30,1804360088,291,16,16,21331,149,60042,0,0,0
4,3,P0+ipi-proc,2,30,1749302910,808,16,16,22232,152,60029,0,30,0
4,4,P0+ipi-thread,2,30,1748113010,17927,16,16,28193,142,60035,37782,37783,0
5,1,P5-irmao,2,30,1591805793,361,16,16,46078,142,60000,0,30,0
5,2,P0+ipi-proc,2,30,1750304883,314,16,16,21530,158,60029,0,0,0
5,3,P0,2,30,1803372344,318,16,16,23625,173,60052,0,30,0
5,4,P0+ipi-thread,2,30,1748048802,17792,16,16,20970,157,59984,37688,37689,0
