repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,simetrico,16,20213072,4391800000,2000000,2.3012
1,1,26.07,simetrico,16,19231652,4391800000,2000000,2.1895
1,2,25.11,assimetrico,48,33477048,4391800000,2000000,3.8113
1,2,26.07,assimetrico,48,32964932,4391800000,2000000,3.7530
1,3,25.11,simetrico,0,18449992,4391800000,2000000,2.1005
1,3,26.07,simetrico,0,19013236,4391800000,2000000,2.1646
1,4,25.11,simetrico,96,16048164,4391800000,2000000,1.8271
1,4,26.07,simetrico,96,17159428,4391800000,2000000,1.9536
1,5,25.11,assimetrico,96,27818648,4391800000,2000000,3.1671
1,5,26.07,assimetrico,96,35232120,4391800000,2000000,4.0111
1,6,25.11,simetrico,48,15951276,4391800000,2000000,1.8160
1,6,26.07,simetrico,48,17194672,4391800000,2000000,1.9576
1,7,25.11,simetrico,24,16002448,4391800000,2000000,1.8219
1,7,26.07,simetrico,24,19134632,4391800000,2000000,2.1784
1,8,25.11,simetrico,128,16005572,4391800000,2000000,1.8222
1,8,26.07,simetrico,128,17176940,4391800000,2000000,1.9556
1,9,25.11,assimetrico,0,37611288,4391800000,2000000,4.2820
1,9,26.07,assimetrico,0,35734424,4391800000,2000000,4.0683
1,10,25.11,assimetrico,24,37852540,4391800000,2000000,4.3095
1,10,26.07,assimetrico,24,36242668,4391800000,2000000,4.1262
1,11,25.11,assimetrico,16,36494216,4391800000,2000000,4.1548
1,11,26.07,assimetrico,16,35727560,4391800000,2000000,4.0675
1,12,25.11,assimetrico,256,26237376,4391800000,2000000,2.9871
1,12,26.07,assimetrico,256,27021236,4391800000,2000000,3.0763
1,13,25.11,simetrico,64,16017188,4391800000,2000000,1.8235
1,13,26.07,simetrico,64,17199556,4391800000,2000000,1.9581
1,14,25.11,simetrico,32,16056832,4391800000,2000000,1.8280
1,14,26.07,simetrico,32,17153444,4391800000,2000000,1.9529
1,15,25.11,assimetrico,64,31459208,4391800000,2000000,3.5816
1,15,26.07,assimetrico,64,34204368,4391800000,2000000,3.8941
1,16,25.11,assimetrico,128,28342776,4391800000,2000000,3.2268
1,16,26.07,assimetrico,128,29593388,4391800000,2000000,3.3692
1,17,25.11,assimetrico,512,26497372,4391800000,2000000,3.0167
1,17,26.07,assimetrico,512,26476032,4391800000,2000000,3.0143
1,18,25.11,simetrico,512,15977236,4391800000,2000000,1.8190
1,18,26.07,simetrico,512,17176148,4391800000,2000000,1.9555
1,19,25.11,simetrico,256,15971780,4391800000,2000000,1.8184
1,19,26.07,simetrico,256,17188864,4391800000,2000000,1.9569
1,20,25.11,assimetrico,32,33088660,4391800000,2000000,3.7671
1,20,26.07,assimetrico,32,32491448,4391800000,2000000,3.6991
2,1,25.11,simetrico,256,15987004,4391800000,2000000,1.8201
2,1,26.07,simetrico,256,17231676,4391800000,2000000,1.9618
2,2,25.11,simetrico,32,16010368,4391800000,2000000,1.8228
2,2,26.07,simetrico,32,17175488,4391800000,2000000,1.9554
2,3,25.11,assimetrico,128,28332304,4391800000,2000000,3.2256
2,3,26.07,assimetrico,128,30850292,4391800000,2000000,3.5123
2,4,25.11,assimetrico,64,31889880,4391800000,2000000,3.6306
2,4,26.07,assimetrico,64,34253692,4391800000,2000000,3.8997
2,5,25.11,simetrico,512,15956248,4391800000,2000000,1.8166
2,5,26.07,simetrico,512,17225208,4391800000,2000000,1.9611
2,6,25.11,simetrico,64,15955500,4391800000,2000000,1.8165
2,6,26.07,simetrico,64,17162508,4391800000,2000000,1.9539
2,7,25.11,assimetrico,0,37867632,4391800000,2000000,4.3112
2,7,26.07,assimetrico,0,37368408,4391800000,2000000,4.2543
2,8,25.11,assimetrico,24,37792480,4391800000,2000000,4.3026
2,8,26.07,assimetrico,24,36309504,4391800000,2000000,4.1338
2,9,25.11,simetrico,16,20232828,4391800000,2000000,2.3035
2,9,26.07,simetrico,16,19172736,4391800000,2000000,2.1828
2,10,25.11,simetrico,24,15944544,4391800000,2000000,1.8153
2,10,26.07,simetrico,24,19169216,4391800000,2000000,2.1824
2,11,25.11,assimetrico,32,34093048,4391800000,2000000,3.8814
2,11,26.07,assimetrico,32,33446468,4391800000,2000000,3.8078
2,12,25.11,assimetrico,96,29185728,4391800000,2000000,3.3228
2,12,26.07,assimetrico,96,35764872,4391800000,2000000,4.0718
2,13,25.11,simetrico,128,15970548,4391800000,2000000,1.8182
2,13,26.07,simetrico,128,17181120,4391800000,2000000,1.9560
2,14,25.11,simetrico,0,18165796,4391800000,2000000,2.0681
2,14,26.07,simetrico,0,19425824,4391800000,2000000,2.2116
2,15,25.11,simetrico,96,15950044,4391800000,2000000,1.8159
2,15,26.07,simetrico,96,17114460,4391800000,2000000,1.9485
2,16,25.11,simetrico,48,15984892,4391800000,2000000,1.8199
2,16,26.07,simetrico,48,17188160,4391800000,2000000,1.9568
2,17,25.11,assimetrico,16,36314476,4391800000,2000000,4.1343
2,17,26.07,assimetrico,16,35785640,4391800000,2000000,4.0741
2,18,25.11,assimetrico,48,33150392,4391800000,2000000,3.7741
2,18,26.07,assimetrico,48,33451352,4391800000,2000000,3.8084
2,19,25.11,assimetrico,512,26490816,4391800000,2000000,3.0159
2,19,26.07,assimetrico,512,26679488,4391800000,2000000,3.0374
2,20,25.11,assimetrico,256,26549908,4391800000,2000000,3.0227
2,20,26.07,assimetrico,256,27952848,4391800000,2000000,3.1824
3,1,25.11,assimetrico,0,38614180,4391800000,2000000,4.3962
3,1,26.07,assimetrico,0,37457552,4391800000,2000000,4.2645
3,2,25.11,simetrico,512,15965708,4391800000,2000000,1.8177
3,2,26.07,simetrico,512,17238276,4391800000,2000000,1.9626
3,3,25.11,assimetrico,16,37059396,4391800000,2000000,4.2192
3,3,26.07,assimetrico,16,36882208,4391800000,2000000,4.1990
3,4,25.11,simetrico,32,16197016,4391800000,2000000,1.8440
3,4,26.07,simetrico,32,17176368,4391800000,2000000,1.9555
3,5,25.11,simetrico,48,16010104,4391800000,2000000,1.8227
3,5,26.07,simetrico,48,17145612,4391800000,2000000,1.9520
3,6,25.11,assimetrico,32,33643192,4391800000,2000000,3.8302
3,6,26.07,assimetrico,32,33530684,4391800000,2000000,3.8174
3,7,25.11,assimetrico,96,27548796,4391800000,2000000,3.1364
3,7,26.07,assimetrico,96,35574660,4391800000,2000000,4.0501
3,8,25.11,simetrico,16,20153584,4391800000,2000000,2.2945
3,8,26.07,simetrico,16,19142288,4391800000,2000000,2.1793
3,9,25.11,assimetrico,48,32810228,4391800000,2000000,3.7354
3,9,26.07,assimetrico,48,32602900,4391800000,2000000,3.7118
3,10,25.11,assimetrico,128,28100644,4391800000,2000000,3.1992
3,10,26.07,assimetrico,128,30382220,4391800000,2000000,3.4590
3,11,25.11,simetrico,24,15949560,4391800000,2000000,1.8158
3,11,26.07,simetrico,24,19244808,4391800000,2000000,2.1910
3,12,25.11,simetrico,256,15977324,4391800000,2000000,1.8190
3,12,26.07,simetrico,256,17196300,4391800000,2000000,1.9578
3,13,25.11,simetrico,96,15939132,4391800000,2000000,1.8146
3,13,26.07,simetrico,96,17275148,4391800000,2000000,1.9668
3,14,25.11,assimetrico,24,37759260,4391800000,2000000,4.2988
3,14,26.07,assimetrico,24,36611608,4391800000,2000000,4.1682
3,15,25.11,assimetrico,256,26228620,4391800000,2000000,2.9861
3,15,26.07,assimetrico,256,28010444,4391800000,2000000,3.1889
3,16,25.11,simetrico,64,15951320,4391800000,2000000,1.8160
3,16,26.07,simetrico,64,17136460,4391800000,2000000,1.9510
3,17,25.11,simetrico,128,15949164,4391800000,2000000,1.8158
3,17,26.07,simetrico,128,17202416,4391800000,2000000,1.9585
3,18,25.11,simetrico,0,18300656,4391800000,2000000,2.0835
3,18,26.07,simetrico,0,19209168,4391800000,2000000,2.1869
3,19,25.11,assimetrico,64,31852040,4391800000,2000000,3.6263
3,19,26.07,assimetrico,64,34302620,4391800000,2000000,3.9053
3,20,25.11,assimetrico,512,26095784,4391800000,2000000,2.9710
3,20,26.07,assimetrico,512,25905704,4391800000,2000000,2.9493
4,1,25.11,simetrico,32,15975432,4391800000,2000000,1.8188
4,1,26.07,simetrico,32,17185344,4391800000,2000000,1.9565
4,2,25.11,simetrico,128,15959108,4391800000,2000000,1.8169
4,2,26.07,simetrico,128,17147504,4391800000,2000000,1.9522
4,3,25.11,assimetrico,512,26189680,4391800000,2000000,2.9817
4,3,26.07,assimetrico,512,25679236,4391800000,2000000,2.9235
4,4,25.11,assimetrico,64,31347008,4391800000,2000000,3.5688
4,4,26.07,assimetrico,64,33876832,4391800000,2000000,3.8568
4,5,25.11,assimetrico,24,37921136,4391800000,2000000,4.3173
4,5,26.07,assimetrico,24,36347256,4391800000,2000000,4.1381
