# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 00:10:00
Index   CPU-002
1         38930 
2          1039 
3            96 
4            25 
5             7 
6             5 
7            38 
8             6 
9             5 
10            9 
11          360 
12          161 
13           15 
14           37 
15           10 
16            1 
18         1624 
19          676 
20           44 
21            3 
22            2 
over:         0 
count:    43093 
min:          1 
avg:       2.13 
max:         22 
