repeticao,ordem,celula,cpu,segundos,amostras,acima_limiar,p99_piso,p999_piso,maior_ns,preempcoes,loc,tlb,cal,res
1,1,P0+ipi-thread,2,30,1750695169,14753,16,16,25158,132,60024,37696,37727,0
1,2,P0+ipi-proc,2,30,1750600558,95,16,16,14677,97,60030,0,0,0
1,3,P5-irmao,2,30,1593233595,256,16,16,55746,114,60029,0,30,0
1,4,P0,2,30,1803772317,269,16,16,22503,146,60034,0,0,0
2,1,P5-irmao,2,30,1592069046,258,16,16,23555,108,59990,0,18,0
2,2,P0,2,30,1803796193,272,16,16,21420,146,60040,0,0,0
2,3,P0+ipi-proc,2,30,1750473415,325,16,16,22083,123,60034,0,30,0
2,4,P0+ipi-thread,2,30,1749432161,19403,16,16,26471,130,60029,37938,37941,0
3,1,P0,2,30,1802560104,279,16,16,21250,149,60048,0,30,0
3,2,P5-irmao,2,30,1590319486,267,16,16,22142,118,59983,0,0,0
3,3,P0+ipi-thread,2,30,1750953724,19298,16,16,20860,134,60021,37931,37956,0
3,4,P0+ipi-proc,2,30,1751768515,80,16,16,14127,88,60019,0,0,0
4,1,P0,2,30,1802969155,266,16,16,22112,147,60036,0,21,0
4,2,P0+ipi-thread,2,30,1748444601,22251,16,16,32071,135,60031,37756,37766,0
4,3,P5-irmao,2,30,1588337316,293,16,16,28964,128,60015,0,0,0
4,4,P0+ipi-proc,2,30,1751300755,275,16,16,20910,134,60026,0,24,0
5,1,P0,2,30,1803401413,264,16,16,21651,149,60056,0,0,0
5,2,P0+ipi-thread,2,30,1748686126,22510,16,16,22743,130,60015,37679,37710,0
5,3,P0+ipi-proc,2,30,1749762258,95,16,16,15299,92,60028,0,0,0
5,4,P5-irmao,2,30,1590054489,317,16,16,23605,114,60038,0,18,0
