repeticao,ordem,versao,topologia,cache,ciclos,tsc_hz,pacotes,ns_por_pacote
1,1,25.11,assimetrico,48,32378940,4391800000,2000000,3.6863
1,1,26.07,assimetrico,48,33398244,4391800000,2000000,3.8023
1,2,25.11,simetrico,0,18359044,4391800000,2000000,2.0902
1,2,26.07,simetrico,0,19190160,4391800000,2000000,2.1848
1,3,25.11,simetrico,512,15925712,4391800000,2000000,1.8131
1,3,26.07,simetrico,512,17145436,4391800000,2000000,1.9520
1,4,25.11,assimetrico,64,31601108,4391800000,2000000,3.5977
1,4,26.07,assimetrico,64,35027564,4391800000,2000000,3.9878
1,5,25.11,assimetrico,512,26118708,4391800000,2000000,2.9736
1,5,26.07,assimetrico,512,26463360,4391800000,2000000,3.0128
1,6,25.11,simetrico,128,15971560,4391800000,2000000,1.8183
1,6,26.07,simetrico,128,17174124,4391800000,2000000,1.9552
1,7,25.11,simetrico,48,15927428,4391800000,2000000,1.8133
1,7,26.07,simetrico,48,17165852,4391800000,2000000,1.9543
1,8,25.11,assimetrico,256,26609176,4391800000,2000000,3.0294
1,8,26.07,assimetrico,256,27633232,4391800000,2000000,3.1460
1,9,25.11,simetrico,256,15981328,4391800000,2000000,1.8195
1,9,26.07,simetrico,256,17139232,4391800000,2000000,1.9513
1,10,25.11,assimetrico,16,36568884,4391800000,2000000,4.1633
1,10,26.07,assimetrico,16,36894660,4391800000,2000000,4.2004
1,11,25.11,assimetrico,96,28060560,4391800000,2000000,3.1947
1,11,26.07,assimetrico,96,35800864,4391800000,2000000,4.0759
1,12,25.11,simetrico,24,15933104,4391800000,2000000,1.8140
1,12,26.07,simetrico,24,19117340,4391800000,2000000,2.1765
1,13,25.11,simetrico,16,20170524,4391800000,2000000,2.2964
1,13,26.07,simetrico,16,19126712,4391800000,2000000,2.1775
1,14,25.11,assimetrico,32,33585728,4391800000,2000000,3.8237
1,14,26.07,assimetrico,32,33560472,4391800000,2000000,3.8208
1,15,25.11,simetrico,32,15970768,4391800000,2000000,1.8182
1,15,26.07,simetrico,32,17168052,4391800000,2000000,1.9546
1,16,25.11,assimetrico,128,28136152,4391800000,2000000,3.2033
1,16,26.07,assimetrico,128,30410424,4391800000,2000000,3.4622
1,17,25.11,assimetrico,24,36768644,4391800000,2000000,4.1861
1,17,26.07,assimetrico,24,35510068,4391800000,2000000,4.0428
1,18,25.11,assimetrico,0,38338740,4391800000,2000000,4.3648
1,18,26.07,assimetrico,0,36849032,4391800000,2000000,4.1952
1,19,25.11,simetrico,64,16014988,4391800000,2000000,1.8233
1,19,26.07,simetrico,64,17118332,4391800000,2000000,1.9489
1,20,25.11,simetrico,96,15944500,4391800000,2000000,1.8153
1,20,26.07,simetrico,96,17138748,4391800000,2000000,1.9512
2,1,25.11,simetrico,128,15954224,4391800000,2000000,1.8164
2,1,26.07,simetrico,128,17157712,4391800000,2000000,1.9534
2,2,25.11,assimetrico,16,36152116,4391800000,2000000,4.1159
2,2,26.07,assimetrico,16,36140148,4391800000,2000000,4.1145
2,3,25.11,assimetrico,512,26494116,4391800000,2000000,3.0163
2,3,26.07,assimetrico,512,26128300,4391800000,2000000,2.9747
2,4,25.11,simetrico,96,15958316,4391800000,2000000,1.8168
2,4,26.07,simetrico,96,16980216,4391800000,2000000,1.9332
2,5,25.11,assimetrico,24,36797200,4391800000,2000000,4.1893
2,5,26.07,assimetrico,24,36582700,4391800000,2000000,4.1649
2,6,25.11,simetrico,24,15977324,4391800000,2000000,1.8190
2,6,26.07,simetrico,24,19864636,4391800000,2000000,2.2616
2,7,25.11,simetrico,48,15932092,4391800000,2000000,1.8138
2,7,26.07,simetrico,48,17191724,4391800000,2000000,1.9573
2,8,25.11,assimetrico,0,37666464,4391800000,2000000,4.2883
2,8,26.07,assimetrico,0,35162028,4391800000,2000000,4.0031
2,9,25.11,assimetrico,48,32769044,4391800000,2000000,3.7307
2,9,26.07,assimetrico,48,32877812,4391800000,2000000,3.7431
2,10,25.11,assimetrico,64,31324480,4391800000,2000000,3.5662
2,10,26.07,assimetrico,64,34837924,4391800000,2000000,3.9662
2,11,25.11,simetrico,64,15940232,4391800000,2000000,1.8148
2,11,26.07,simetrico,64,17185212,4391800000,2000000,1.9565
2,12,25.11,assimetrico,256,26433264,4391800000,2000000,3.0094
2,12,26.07,assimetrico,256,27935204,4391800000,2000000,3.1804
2,13,25.11,simetrico,0,17803016,4391800000,2000000,2.0268
2,13,26.07,simetrico,0,19575380,4391800000,2000000,2.2286
2,14,25.11,simetrico,32,15972704,4391800000,2000000,1.8185
2,14,26.07,simetrico,32,17123040,4391800000,2000000,1.9494
2,15,25.11,simetrico,16,20247040,4391800000,2000000,2.3051
2,15,26.07,simetrico,16,19117428,4391800000,2000000,2.1765
2,16,25.11,assimetrico,32,34248500,4391800000,2000000,3.8991
2,16,26.07,assimetrico,32,33404272,4391800000,2000000,3.8030
2,17,25.11,assimetrico,128,28776660,4391800000,2000000,3.2762
2,17,26.07,assimetrico,128,30041440,4391800000,2000000,3.4202
2,18,25.11,assimetrico,96,27925788,4391800000,2000000,3.1793
2,18,26.07,assimetrico,96,34905860,4391800000,2000000,3.9740
2,19,25.11,simetrico,256,16036108,4391800000,2000000,1.8257
2,19,26.07,simetrico,256,17182528,4391800000,2000000,1.9562
2,20,25.11,simetrico,512,15971560,4391800000,2000000,1.8183
2,20,26.07,simetrico,512,17195860,4391800000,2000000,1.9577
3,1,25.11,simetrico,256,15929188,4391800000,2000000,1.8135
3,1,26.07,simetrico,256,17154764,4391800000,2000000,1.9530
3,2,25.11,assimetrico,48,32144508,4391800000,2000000,3.6596
3,2,26.07,assimetrico,48,33270028,4391800000,2000000,3.7877
3,3,25.11,assimetrico,16,37929848,4391800000,2000000,4.3183
3,3,26.07,assimetrico,16,36840672,4391800000,2000000,4.1943
3,4,25.11,simetrico,96,15938076,4391800000,2000000,1.8145
3,4,26.07,simetrico,96,17199336,4391800000,2000000,1.9581
3,5,25.11,simetrico,16,20244972,4391800000,2000000,2.3049
3,5,26.07,simetrico,16,19203580,4391800000,2000000,2.1863
3,6,25.11,assimetrico,24,37486460,4391800000,2000000,4.2678
3,6,26.07,assimetrico,24,36585340,4391800000,2000000,4.1652
3,7,25.11,simetrico,128,15891832,4391800000,2000000,1.8093
3,7,26.07,simetrico,128,17130212,4391800000,2000000,1.9502
3,8,25.11,assimetrico,64,31713220,4391800000,2000000,3.6105
3,8,26.07,assimetrico,64,34825560,4391800000,2000000,3.9648
3,9,25.11,simetrico,0,18059888,4391800000,2000000,2.0561
3,9,26.07,simetrico,0,19187740,4391800000,2000000,2.1845
3,10,25.11,assimetrico,256,26097148,4391800000,2000000,2.9711
3,10,26.07,assimetrico,256,27387272,4391800000,2000000,3.1180
3,11,25.11,simetrico,32,15952332,4391800000,2000000,1.8161
3,11,26.07,simetrico,32,17159252,4391800000,2000000,1.9536
3,12,25.11,simetrico,64,15941772,4391800000,2000000,1.8149
3,12,26.07,simetrico,64,17177644,4391800000,2000000,1.9556
3,13,25.11,assimetrico,512,26388384,4391800000,2000000,3.0043
3,13,26.07,assimetrico,512,26374876,4391800000,2000000,3.0027
3,14,25.11,assimetrico,128,28152124,4391800000,2000000,3.2051
3,14,26.07,assimetrico,128,29486732,4391800000,2000000,3.3570
3,15,25.11,assimetrico,32,33318868,4391800000,2000000,3.7933
3,15,26.07,assimetrico,32,33388212,4391800000,2000000,3.8012
3,16,25.11,simetrico,24,15940276,4391800000,2000000,1.8148
3,16,26.07,simetrico,24,19193284,4391800000,2000000,2.1851
3,17,25.11,simetrico,512,16000028,4391800000,2000000,1.8216
3,17,26.07,simetrico,512,17157712,4391800000,2000000,1.9534
3,18,25.11,simetrico,48,16008300,4391800000,2000000,1.8225
3,18,26.07,simetrico,48,17172232,4391800000,2000000,1.9550
3,19,25.11,assimetrico,0,38604588,4391800000,2000000,4.3951
3,19,26.07,assimetrico,0,34982200,4391800000,2000000,3.9827
3,20,25.11,assimetrico,96,28211700,4391800000,2000000,3.2119
3,20,26.07,assimetrico,96,35619100,4391800000,2000000,4.0552
