repeticao,ordem,versao,topologia,cache,get_bulk,get_common,miss_pct
1,1,25.11,assimetrico,32,93463,33665,36.02
1,1,26.07,assimetrico,32,102574,62501,60.93
1,2,26.07,assimetrico,96,113543,41667,36.70
1,2,25.11,assimetrico,96,91701,15626,17.04
1,3,25.11,assimetrico,256,88060,6945,7.89
1,3,26.07,assimetrico,256,95845,15625,16.30
1,4,26.07,simetrico,0,62628,62628,100.00
1,4,25.11,simetrico,0,62628,62628,100.00
1,5,25.11,simetrico,16,62628,62628,100.00
1,5,26.07,simetrico,16,62628,62628,100.00
1,6,26.07,assimetrico,128,97955,31250,31.90
1,6,25.11,assimetrico,128,99297,12501,12.59
1,7,25.11,simetrico,48,62628,1,0.00
1,7,26.07,simetrico,48,62628,1,0.00
1,8,26.07,simetrico,96,62628,1,0.00
1,8,25.11,simetrico,96,62628,1,0.00
1,9,25.11,simetrico,128,62628,1,0.00
1,9,26.07,simetrico,128,62628,1,0.00
1,10,26.07,assimetrico,16,86468,86468,100.00
1,10,25.11,assimetrico,16,82659,82657,100.00
1,11,25.11,simetrico,256,62628,1,0.00
1,11,26.07,simetrico,256,62628,1,0.00
1,12,26.07,assimetrico,512,92116,7813,8.48
1,12,25.11,assimetrico,512,89749,3677,4.10
1,13,25.11,assimetrico,0,88319,88319,100.00
1,13,26.07,assimetrico,0,89355,89355,100.00
1,14,26.07,assimetrico,48,99758,62501,62.65
1,14,25.11,assimetrico,48,112936,31849,28.20
1,15,25.11,simetrico,32,62628,1,0.00
1,15,26.07,simetrico,32,62628,1,0.00
1,16,26.07,simetrico,512,62628,1,0.00
1,16,25.11,simetrico,512,62628,1,0.00
1,17,25.11,simetrico,64,62628,1,0.00
1,17,26.07,simetrico,64,62628,1,0.00
1,18,26.07,assimetrico,24,87933,87933,100.00
1,18,25.11,assimetrico,24,86719,62500,72.07
1,19,25.11,assimetrico,64,94848,20834,21.97
1,19,26.07,assimetrico,64,94502,62500,66.14
1,20,26.07,simetrico,24,62628,62628,100.00
1,20,25.11,simetrico,24,62628,1,0.00
2,1,26.07,assimetrico,96,110319,41667,37.77
2,1,25.11,assimetrico,96,93035,15626,16.80
2,2,25.11,assimetrico,24,86026,62500,72.65
2,2,26.07,assimetrico,24,88961,88961,100.00
2,3,26.07,assimetrico,0,86800,86800,100.00
2,3,25.11,assimetrico,0,87038,87038,100.00
2,4,25.11,assimetrico,256,88416,6945,7.85
2,4,26.07,assimetrico,256,92741,15625,16.85
2,5,26.07,simetrico,16,62628,62628,100.00
2,5,25.11,simetrico,16,62628,62628,100.00
2,6,25.11,simetrico,0,62628,62628,100.00
2,6,26.07,simetrico,0,62628,62628,100.00
2,7,26.07,simetrico,64,62628,1,0.00
2,7,25.11,simetrico,64,62628,1,0.00
2,8,25.11,assimetrico,32,98513,36317,36.87
2,8,26.07,assimetrico,32,106357,62501,58.77
2,9,26.07,simetrico,256,62628,1,0.00
2,9,25.11,simetrico,256,62628,1,0.00
2,10,25.11,assimetrico,128,94593,12501,13.22
2,10,26.07,assimetrico,128,100526,31250,31.09
2,11,26.07,assimetrico,16,88671,88671,100.00
2,11,25.11,assimetrico,16,79713,79712,100.00
2,12,25.11,simetrico,24,62628,1,0.00
2,12,26.07,simetrico,24,62628,62628,100.00
2,13,26.07,simetrico,32,62628,1,0.00
2,13,25.11,simetrico,32,62628,1,0.00
2,14,25.11,assimetrico,512,89113,3677,4.13
