# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 00:10:00
Index   CPU-002
1         33146 
2          1721 
3           456 
4           118 
5            46 
6            13 
7            37 
8            14 
9            12 
10            3 
11          327 
12          161 
13           60 
14           21 
15            5 
16            3 
17            1 
18           14 
19           16 
20            2 
21            1 
23            1 
27            1 
31            1 
33            1 
36            1 
38            1 
39            1 
45            1 
65            1 
79            1 
108           1 
113           1 
114           1 
over:         2 
count:    36192 
min:          1 
avg:       1.33 
max:        530 
